%Name,x,y,radius,types[0=0:1=1:2=234:3=34:4=4],price,quality
South America,-400,400,240,0,0,0
International,-200,400,120,1,0,0
%The Netherlands,440,320,40,2,0,57.92
NL & B,360,290,75,2,0,50
%Spain,210,640,90,2,0,47.43
ES & P,200,675,100,2,0,40
Austria,670,520,50,3,0,50
%Belgium,425,360,40,3,0,50
Czech Republic,680,400,60,3,0,50
Denmark,520,200,50,3,0,50
France,370,470,100,3,0,50.81
Germany,530,350,80,3,0,42.76
Italy,630,700,90,3,0,52.89
Ireland,200,90,50,4,0,50
%Luxembourg,450,390,20,3,0,50
Poland,750,270,80,3,0,50
%Portugal,115,640,40,3,0,50
United Kingdom,310,110,60,3,0,41.44
Switzerland,540,540,60,3,0,50
North Europe,650,100,80,4,0,50
East Europe,805,460,80,4,0,50
