%Name,x,y,radius,types[0=0:1=1:2=234:3=34:4=4],price,quality
South America,-400,400,240,0,0,0
International,-200,400,120,1,0,0
NL & B,200,310,100,2,0,60.54
ES & P,200,675,100,2,0,40
Austria,785,520,50,3,0,33.93
Czech Republic,795,400,60,3,0,44.46
Denmark,635,200,50,3,0,36.64
France,485,470,80,3,0,50.81
Germany,645,350,80,3,0,42.76
Italy,745,700,90,3,0,52.89
Ireland,380,90,50,4,0,37.66
Poland,865,270,80,3,0,60.66
United Kingdom,500,110,60,3,0,41.44
North Europe,765,100,80,4,0,40.54
East Europe,920,460,80,4,0,41.41
