,The Netherlands,Spain,Austria,Belgium,Czech Republic,Denmark,France,Germany,Ireland,Italy,Luxembourg,Poland,Portugal,United Kingdom,North Europe,East Europe
The Netherlands,0,,,,,,,,,,,,,,,
Spain,3,0,,,,,,,,,,,,,,
Austria,2,3,0,,,,,,,,,,,,,
Belgium,1,2,2,0,,,,,,,,,,,,
Czech Republic,2,3,1,2,0,,,,,,,,,,,
Denmark,2,3,2,2,2,0,,,,,,,,,,
France,2,1,2,1,2,2,0,,,,,,,,,
Germany,2,2,1,1,1,1,1,0,,,,,,,,
Ireland,4,4,5,4,5,5,4,4,0,,,,,,,
Italy,3,2,1,2,2,3,1,2,5,0,,,,,,
Luxembourg,2,2,2,1,2,2,1,1,5,2,0,,,,,
Poland,2,3,2,2,1,2,2,1,5,3,2,0,,,,
Portugal,4,1,4,3,4,4,2,3,5,3,3,4,0,,,
United Kingdom,2,2,3,2,3,3,2,2,2,3,3,3,3,0,,
North Europe,3,4,3,3,3,1,3,2,6,4,3,3,5,4,0,
East Europe,3,4,1,3,1,3,3,2,6,2,3,1,4,4,4,0
