"tick","Money avg. 1 Producers","Money avg. 2 Internationals","Money avg. 3 Wholesalers","Money avg. 4 Retailers","Money avg. 5 Consumers"
1.0,498.9379743631648,39914.6969746371,23450.070985119604,5588.086758327468,0.0
2.0,497.87594872632957,39829.39394927421,23400.14197023921,5576.173516654935,0.0
3.0,496.8139230894944,39744.09092391131,23350.21295535881,5564.260274982403,0.0
4.0,495.75189745265914,39658.78789854841,23300.283940478414,5552.347033309869,0.0
5.0,494.68987181582395,39573.484873185516,23250.354925598018,5540.484700728247,0.0
6.0,493.6278461789887,39488.18184782262,23200.42591071762,5528.6223681466245,0.0
7.0,492.5658205421535,39402.87882245972,23150.496895837223,5526.941853746818,0.0
8.0,491.5037949053183,39317.575797096826,23100.567880956827,5515.079521165196,0.0
9.0,490.44176926848303,39232.27277173393,23052.98886607643,5503.217188583572,0.0
10.0,489.37974363164784,39146.96974637103,23005.409851196036,5491.35485600195,0.0
11.0,488.3177179948126,39061.666721008136,23427.83083631564,5394.037977965781,0.0
12.0,487.2556923579774,38976.36369564524,23380.251821435242,5381.768482399952,0.0
13.0,486.1936667211422,38894.06067028234,23332.672806554845,5369.603935823272,0.0
14.0,485.131641084307,38811.757644919446,23285.09379167445,5380.699408327944,0.0
15.0,484.06961544747173,39329.45461955655,22637.514776794054,5392.506548546301,0.0
16.0,483.00758981063655,39247.15159419365,22583.32754002418,5404.965591274479,0.0
17.0,481.97889750713466,39164.848568830756,22531.28804817255,5398.02522733436,0.0
18.0,480.9502052036328,39082.54554346786,22962.410437172515,5298.518272381908,0.0
19.0,486.52984623346424,38990.24251810496,23402.428450592324,5197.035406080561,0.0
20.0,485.32740392996243,38907.13949274206,23813.409535552375,5100.465482390975,0.0
21.0,483.981514786243,38824.03646737916,24014.44662018532,5041.623254803618,0.0
22.0,482.46883351829456,38740.93344201626,24216.784264260063,4982.257194266688,0.0
23.0,480.8048525878625,38657.83041665336,24303.671932168996,4943.593166111138,0.0
24.0,478.96253552459325,38574.727391290464,24256.34130838148,4929.17716982736,0.0
25.0,480.79491458719383,38485.7918306234,24209.010684593966,4914.812082634491,0.0
26.0,479.885250741558,38399.8611491608,24161.680060806455,4900.446995441621,0.0
27.0,480.607234915739,38310.8914617022,24114.349437018936,4896.26372643057,0.0
28.0,479.17241000305796,38224.09178585803,24067.018813231425,4881.898639237701,0.0
29.0,484.6759230865324,38126.131320751374,24019.688189443907,4867.5335520448325,0.0
30.0,485.04358541631495,38037.894897125574,23972.35756565639,4853.168464851963,0.0
31.0,485.65512777722245,37948.08111091896,23925.026941868877,4838.803377659094,0.0
32.0,486.14826394497294,38217.169200884644,23517.67572283104,4824.438290466227,0.0
33.0,487.8374887332758,38125.25473451035,23458.239777542272,4810.073203273357,0.0
34.0,489.06928813730906,38033.480200560734,23399.432696846336,4795.708116080487,0.0
35.0,489.95118013392994,38032.83832520853,23352.90940942405,4762.66218705514,0.0
36.0,494.1387412989839,37975.83120210864,23351.339271866564,4729.455269910086,0.0
37.0,495.48592926741514,37909.623659906545,23358.822091600756,4696.088429837296,0.0
38.0,498.2538224297357,37809.18447812822,23457.414384151016,4651.14800396398,0.0
