"tick","Id","LocationX","LocationY","Money"
1.0,51,95,31,0.0
1.0,42,86,5,5588.204386246605
1.0,22,87,16,5588.205198840108
1.0,28,88,22,0.0
1.0,6,25,20,39915.936451615766
1.0,21,46,4,0.0
1.0,58,93,24,0.0
1.0,23,87,17,5588.214879691713
1.0,50,93,29,0.0
1.0,5,12,18,498.94781938862286
1.0,0,12,27,498.92732262933276
1.0,57,85,39,0.0
1.0,27,86,23,5587.983453108771
1.0,31,77,38,5587.9752390807025
1.0,41,80,24,0.0
1.0,48,89,32,5588.035172263859
1.0,25,84,16,0.0
1.0,36,64,23,0.0
1.0,17,43,10,23450.442655729865
1.0,47,63,44,0.0
1.0,49,90,34,5588.083413034733
1.0,14,48,25,0.0
1.0,3,12,11,498.9323269233981
1.0,44,86,9,0.0
1.0,24,84,19,0.0
1.0,40,74,25,0.0
1.0,8,25,29,39914.69649769226
1.0,18,50,10,5588.15713416704
1.0,19,52,6,5588.2360832017475
1.0,7,25,26,39914.521606074646
1.0,9,25,32,39914.48031988088
1.0,43,83,4,5588.114983823001
1.0,45,80,3,0.0
1.0,55,71,43,0.0
1.0,13,50,33,5588.001192330466
1.0,29,88,27,0.0
1.0,39,78,26,5588.198402744662
1.0,1,12,34,498.93247243989606
1.0,32,78,35,0.0
1.0,56,85,47,0.0
1.0,59,95,17,0.0
1.0,11,43,31,23449.965547446183
1.0,20,45,6,0.0
1.0,30,76,38,5588.070105514937
1.0,34,67,22,5588.04368974546
1.0,37,68,24,0.0
1.0,10,43,36,23450.115066504117
1.0,16,43,2,23449.80897805087
1.0,46,59,46,0.0
1.0,33,74,36,0.0
1.0,54,66,41,0.0
1.0,4,12,40,498.9477901437029
1.0,15,45,29,0.0
1.0,53,69,41,5588.0327596769575
1.0,2,12,25,498.9254111598537
1.0,26,88,24,5588.123040362811
1.0,52,69,44,5588.182156466562
1.0,12,48,28,5587.9834670624605
1.0,35,66,21,5588.149961291077
1.0,38,76,26,5588.208399956431
2.0,51,95,31,0.0
2.0,42,86,5,5576.408772493211
2.0,22,87,16,5576.410397680216
2.0,28,88,22,0.0
2.0,6,25,20,39831.87290323153
2.0,21,46,4,0.0
2.0,58,93,24,0.0
2.0,23,87,17,5576.429759383425
2.0,50,93,29,0.0
2.0,5,12,18,497.8956387772457
2.0,0,12,27,497.8546452586655
