"tick","Id","LocationX","LocationY","Money"
1.0,52,57,41,5588.0327596769575
1.0,50,88,33,0.0
1.0,59,69,14,0.0
1.0,63,91,21,0.0
1.0,10,55,35,23449.965547446183
1.0,44,73,3,0.0
1.0,49,84,35,5587.988454288849
1.0,39,70,30,5587.988649891103
1.0,4,12,40,498.94781938862286
1.0,14,62,34,0.0
1.0,36,56,17,0.0
1.0,37,63,24,0.0
1.0,38,72,28,5588.198402744662
1.0,32,70,35,0.0
1.0,22,78,18,5588.214879691713
1.0,18,50,10,5588.2360832017475
1.0,58,73,14,0.0
1.0,3,12,22,498.9477901437029
1.0,43,76,4,5588.1335933432165
1.0,29,77,26,0.0
1.0,30,70,36,5587.9752390807025
1.0,60,78,39,0.0
1.0,8,25,26,39914.48031988088
1.0,5,12,11,498.9420261235151
1.0,23,80,16,5588.197830340117
1.0,0,12,32,498.93247243989606
1.0,19,49,5,5588.082731739022
1.0,16,43,12,23450.442655729865
1.0,12,61,31,5588.001192330466
1.0,20,45,6,0.0
1.0,17,43,4,23450.30225945097
1.0,27,78,24,5588.058454416106
1.0,41,67,25,0.0
1.0,13,58,30,5587.999458365403
1.0,51,81,35,0.0
1.0,6,25,25,39914.521606074646
1.0,47,51,46,0.0
1.0,45,75,10,0.0
1.0,1,12,27,498.9254111598537
1.0,15,56,32,0.0
1.0,28,83,25,0.0
1.0,40,71,24,0.0
1.0,46,50,46,0.0
1.0,61,80,47,0.0
1.0,53,55,44,5588.067539974768
1.0,24,77,15,0.0
1.0,26,80,26,5587.983453108771
1.0,21,48,12,0.0
1.0,9,25,29,39915.089474900626
1.0,56,70,17,5588.187647277015
1.0,33,68,39,0.0
1.0,11,55,31,23449.573477851394
1.0,35,60,23,5588.049464713549
1.0,54,55,40,0.0
1.0,34,59,22,5588.149961291077
1.0,31,69,38,5588.137527506491
1.0,57,69,15,5588.026963364817
1.0,7,25,24,39914.69649769226
1.0,62,84,18,0.0
1.0,25,78,19,0.0
1.0,55,55,45,0.0
1.0,2,12,36,498.9323269233981
1.0,42,77,4,5588.114983823001
1.0,48,83,34,5588.083413034733
2.0,52,57,41,5576.065519353915
2.0,50,88,33,0.0
2.0,59,69,14,0.0
2.0,63,91,21,0.0
2.0,10,55,35,23399.931094892367
2.0,44,73,3,0.0
2.0,49,84,35,5575.976908577699
2.0,39,70,30,5575.977299782206
2.0,4,12,40,497.8956387772457
2.0,14,62,34,0.0
2.0,36,56,17,0.0
2.0,37,63,24,0.0
2.0,38,72,28,5576.396805489325
2.0,32,70,35,0.0
2.0,22,78,18,5576.429759383425
2.0,18,50,10,5576.472166403495
2.0,58,73,14,0.0
2.0,3,12,22,497.8955802874058
2.0,43,76,4,5576.267186686433
2.0,29,77,26,0.0
2.0,30,70,36,5575.950478161405
2.0,60,78,39,0.0
2.0,8,25,26,39828.96063976176
2.0,5,12,11,497.88405224703024
2.0,23,80,16,5576.395660680235
2.0,0,12,32,497.8649448797921
2.0,19,49,5,5576.165463478044
2.0,16,43,12,23400.88531145973
2.0,12,61,31,5576.002384660933
2.0,20,45,6,0.0
2.0,17,43,4,23400.604518901942
2.0,27,78,24,5576.116908832211
2.0,41,67,25,0.0
2.0,13,58,30,5575.998916730807
2.0,51,81,35,0.0
2.0,6,25,25,39829.04321214929
2.0,47,51,46,0.0
2.0,45,75,10,0.0
2.0,1,12,27,497.8508223197074
2.0,15,56,32,0.0
2.0,28,83,25,0.0
2.0,40,71,24,0.0
2.0,46,50,46,0.0
2.0,61,80,47,0.0
2.0,53,55,44,5576.135079949536
2.0,24,77,15,0.0
2.0,26,80,26,5575.966906217542
2.0,21,48,12,0.0
2.0,9,25,29,39830.17894980125
2.0,56,70,17,5576.375294554029
2.0,33,68,39,0.0
2.0,11,55,31,23399.14695570279
2.0,35,60,23,5576.0989294270985
2.0,54,55,40,0.0
2.0,34,59,22,5576.299922582153
2.0,31,69,38,5576.275055012982
2.0,57,69,15,5576.0539267296335
