"tick","Money avg. 1 Producers","Money avg. 2 Internationals","Money avg. 3 Wholesalers","Money avg. 4 Retailers","Money avg. 5 Consumers"
1.0,498.9355237808011,39914.90871881589,23450.08306193276,5588.110155930504,0.0
2.0,497.87104756160215,39829.81743763178,23400.166123865518,5576.22031186101,0.0
3.0,496.8065713424032,39744.726156447665,23350.249185798275,5564.330467791517,0.0
4.0,495.7420951232042,39659.63487526355,23300.332247731036,5552.440623722022,0.0
5.0,494.67761890400527,39574.54359407944,23250.415309663797,5540.634779652527,0.0
6.0,493.61314268480635,39489.45231289533,23200.498371596554,5528.82893558303,0.0
7.0,492.54866646560737,39404.36103171122,23150.58143352931,5533.823091513536,0.0
8.0,491.48419024640845,39319.269750527106,23100.66449546207,5522.0172474440415,0.0
9.0,490.4197140272096,39234.178469342995,23052.9017240615,5510.2114033745465,0.0
10.0,489.3552378080106,39149.08718815888,23005.386622061793,5498.405559305052,0.0
11.0,488.2907615888116,39063.99590697477,23427.871520062086,5392.599715235556,0.0
12.0,487.2262853696127,38978.90462579066,23454.65723832263,5365.504054130782,0.0
13.0,486.1618091504138,38895.81334460655,23407.142136322927,5353.313130395353,0.0
14.0,485.0973329312148,38812.722063422436,23359.62703432322,5370.8654256031305,0.0
15.0,484.03285671201587,39129.630782238324,22912.111932323514,5389.873289703166,0.0
16.0,482.96838049281695,39046.53950105421,22858.72183032381,5409.5467013477655,0.0
17.0,481.928904273618,38963.4482198701,22805.919228324106,5421.409070736175,0.0
18.0,480.88942805441906,38880.35693868599,22753.715763212498,5418.264208479622,0.0
19.0,484.8062018352201,38789.76565750188,22812.514279168437,5393.236107841011,0.0
20.0,483.63641311602123,38706.07437631776,22874.510175750795,5358.777172167253,0.0
21.0,482.359257163658,38622.38309513365,23049.633367479455,5301.7569012671665,0.0
22.0,480.9574380415201,38538.69181394954,23228.811003320592,5243.721001792283,0.0
23.0,479.45069612603413,38455.00053276542,23411.900002816998,5184.693511226829,0.0
24.0,477.8018428798361,38371.30925158131,23477.28202930416,5148.993697428613,0.0
25.0,479.8791177091366,38281.780862507665,23542.759641817473,5113.130542230386,0.0
26.0,477.88450050959136,38197.33181059922,23608.32806105564,5077.104879837461,0.0
27.0,478.9555284883168,38108.05229852292,23560.391077357875,5063.635836609808,0.0
28.0,476.6585036710322,38022.86066097655,23512.45409366011,5050.166793382153,0.0
29.0,480.2716431919445,37928.49158204069,23464.517109962348,5036.697750154499,0.0
30.0,480.36958180237696,37840.98392070786,23416.580126264587,5023.228706926842,0.0
31.0,480.623039220315,37752.33979598554,23368.64314256682,5009.759663699187,0.0
32.0,481.151794608837,37941.83913605142,23041.167209338175,4996.290620471533,0.0
33.0,481.9760384614653,37851.422030450216,22983.547361134777,4982.821577243877,0.0
34.0,482.818954570699,37762.09160115519,22925.927512931383,4969.352534016221,0.0
35.0,483.65368060225967,37721.72094086626,22818.152199901248,4955.883490788568,0.0
36.0,485.5642655366343,37724.460569323244,22661.69852911579,4942.414447560913,0.0
37.0,486.22354868630885,37631.42786943102,22595.296027074168,4928.945404333257,0.0
38.0,487.6893396744973,37535.92840621538,22624.78906154956,4896.423100274882,0.0
39.0,488.198254384131,37440.366218450035,22642.23564644083,4866.352214432807,0.0
40.0,489.68852111046795,37341.997151113144,22663.11182685008,4835.636412957976,0.0
41.0,489.9923468960206,37243.78274204778,22687.306779678744,4814.997727240962,0.0
42.0,487.8990008501316,37147.950766869995,22714.696420972028,4793.9413003214895,0.0
43.0,485.94432160316967,37051.724786884035,22744.480597796475,4772.458283218384,0.0
44.0,484.2037032920241,36955.10360305153,22774.055115292453,4751.0425149625125,0.0
45.0,482.74909457155593,36859.28625614179,22710.96578699439,4748.165000346382,0.0
46.0,481.6416175611404,36763.07197877028,22647.876458696333,4745.3878748969055,0.0
47.0,480.8866857650818,36788.43450427677,22462.812783150835,4742.382524932781,0.0
48.0,480.1660882914569,36692.62464704028,22396.935783675664,4728.209241027207,0.0
49.0,479.4444430821218,36596.41636140735,22332.387134385128,4714.035957121634,0.0
50.0,478.72195968421835,36567.173876067216,22323.894269932567,4675.447811379652,0.0
51.0,477.99880573546034,36471.167853543426,22461.805384049323,4620.60952658293,0.0
52.0,477.2834486793519,36374.76263568066,22604.200284531747,4565.034146494427,0.0
53.0,476.5676624706966,36293.09144412372,22799.65662955745,4508.257291825505,0.0
54.0,477.5119496066703,36194.387384972826,23011.80012828267,4457.556768015276,0.0
55.0,480.0660925014406,36121.59674256298,23204.03271379336,4463.312690023782,0.0
56.0,480.5044398717667,36023.120697714956,23411.9616298905,4426.023311317354,0.0
57.0,478.5813328607382,35929.100606167616,23412.109217833637,4421.909864548476,0.0
58.0,477.1219465145061,35850.57112626368,23457.88924702557,4396.924949038037,0.0
59.0,476.70108659407913,35768.79355174538,23443.924800834146,4385.571194276084,0.0
60.0,475.8600831865063,35671.85425677498,23380.017968141008,4376.614013031487,0.0
61.0,473.8712786119178,35576.72746905438,23316.586155268265,4373.277182786624,0.0
62.0,474.4975014107205,35477.11734372999,23305.530219858636,4350.403204875538,0.0
63.0,477.58716546739265,35373.37840103306,23295.028557435537,4327.616520260783,0.0
64.0,478.59094562277124,35272.82311857003,23285.069760939397,4304.905751177555,0.0
65.0,478.2948265859653,35190.79659837735,23208.99057648298,4301.307716739886,0.0
66.0,477.3594957303473,35111.11067366167,23130.584015830344,4298.070273931737,0.0
67.0,477.2032285194821,35030.00384606095,23124.607783299685,4295.135815558387,0.0
68.0,476.23471663177753,34964.95950508224,23037.246565390506,4292.485851753616,0.0
69.0,476.12528503479933,34867.35220860331,22966.041078076498,4289.987995272434,0.0
70.0,476.5944550603245,34780.54385312134,22886.45042879792,4287.544004462495,0.0
71.0,480.22335706297866,34679.55544274109,22813.00129118077,4277.998228411041,0.0
72.0,481.1343232708475,34577.81621338405,22739.55215356362,4268.803439373599,0.0
73.0,482.28587362318297,34475.242165991614,22666.10301594647,4320.856278795066,0.0
74.0,486.7809195592158,34374.6217406139,22586.505035979808,4312.190682738881,0.0
75.0,486.25198071823905,34280.76083617717,22505.404439674774,4303.845336783894,0.0
76.0,484.94318953422646,34188.56055474365,22422.73061559699,4300.742569361839,0.0
77.0,483.65361219885517,34086.873698106996,22388.38262117371,4286.051531437192,0.0
78.0,482.3825005179829,33993.5235302148,22340.36047578852,4278.268742656118,0.0
79.0,481.4788037330399,33890.53033462211,22290.276114270862,4268.005252780395,0.0
80.0,480.78373356287227,33786.75394477414,22240.995373819565,4263.189348063684,0.0
81.0,480.20464529489345,33682.3481211889,22200.82200176997,4252.86331114102,0.0
82.0,479.93448437099846,33576.875997253825,22161.22151017283,4237.739419206102,0.0
83.0,479.9474892153326,33470.258699595506,22098.961373795893,4229.2620296905925,0.0
84.0,478.23329153272954,33366.40696037644,22046.281310593946,4223.368881451846,0.0
85.0,476.5618652072949,33262.55522115737,21998.90213840543,4215.973880313459,0.0
86.0,474.917854104261,33158.7034819383,21952.202057518687,4208.2008294867455,0.0
87.0,473.32123946672897,33054.851742719235,21891.74198302887,4197.233118685456,0.0
88.0,471.7917799049196,32951.00000350017,22070.07920468756,4179.678010330521,0.0
89.0,470.346928938359,32847.1482642811,22011.51110008263,4168.282648789906,0.0
90.0,469.00089758732133,32743.296525062033,21953.001019671137,4157.06454640331,0.0
91.0,467.7055547093907,32639.444785842963,21882.133043564652,4146.853236903951,0.0
92.0,466.4102118314602,32535.5930466239,21811.265067458156,4136.949106409742,0.0
93.0,465.1148689535296,32431.74130740483,21740.39709135167,4127.364577826071,0.0
94.0,463.8195260755991,32327.889568185765,21669.52911524518,4118.088358387618,0.0
95.0,462.52418319766844,32224.0378289667,21598.661139138694,4111.421022347209,0.0
96.0,461.22884031973786,32120.186089747633,21527.793163032202,4105.07371989624,0.0
97.0,459.9334974418073,32016.334350528567,21456.925186925713,4098.942058414345,0.0
98.0,458.63815456387675,31912.482611309497,21386.057210819225,4092.9637329315096,0.0
99.0,457.3428116859461,31808.630872090434,21315.189234712732,4078.824876448381,0.0
100.0,456.0474688080156,31704.77913287137,21244.321258606244,4069.7290785885125,0.0
