"tick","Imported NL Low","Imported NL High","Imported ES Low","Imported ES High"
1.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,25.0,25.0
16.0,0.0,0.0,25.0,25.0
17.0,0.0,0.0,25.0,25.0
18.0,0.0,0.0,25.0,25.0
19.0,0.0,0.0,25.0,25.0
20.0,0.0,0.0,25.0,25.0
21.0,0.0,0.0,25.0,25.0
22.0,0.0,0.0,25.0,25.0
23.0,0.0,0.0,25.0,25.0
24.0,0.0,0.0,25.0,25.0
25.0,0.0,0.0,25.0,25.0
26.0,0.0,0.0,25.0,25.0
27.0,0.0,0.0,25.0,25.0
28.0,0.0,0.0,25.0,25.0
29.0,0.0,0.0,25.0,25.0
30.0,0.0,0.0,25.0,25.0
31.0,0.0,0.0,25.0,25.0
32.0,27.53418391852186,0.0,79.87317357621251,25.0
33.0,27.53418391852186,0.0,79.87317357621251,25.0
34.0,27.53418391852186,0.0,79.87317357621251,25.0
35.0,27.53418391852186,0.0,107.8935554226963,25.0
36.0,56.05312126928881,0.0,136.28203770470427,25.0
37.0,56.05312126928881,0.0,136.28203770470427,25.0
38.0,56.05312126928881,0.0,136.28203770470427,25.0
39.0,56.05312126928881,0.0,136.28203770470427,25.0
40.0,56.05312126928881,0.0,136.28203770470427,25.0
41.0,56.05312126928881,0.0,136.28203770470427,25.0
42.0,56.05312126928881,0.0,136.28203770470427,25.0
43.0,56.05312126928881,0.0,136.28203770470427,25.0
44.0,56.05312126928881,0.0,136.28203770470427,25.0
45.0,56.05312126928881,0.0,136.28203770470427,25.0
46.0,56.05312126928881,0.0,136.28203770470427,25.0
47.0,86.05312126928881,0.0,136.28203770470427,25.0
48.0,86.05312126928881,0.0,136.28203770470427,25.0
49.0,86.05312126928881,0.0,136.28203770470427,25.0
50.0,116.05312126928881,0.0,136.28203770470427,25.0
