"tick","Money avg. 1 Producers","Money avg. 2 Internationals","Money avg. 3 Wholesalers","Money avg. 4 Retailers","Money avg. 5 Consumers"
1.0,498.93768708564266,39914.77471951861,23449.830492878405,5588.089791113279,153.29696027860047
2.0,497.8753741712852,39829.54943903722,23399.66098575681,5576.179582226559,306.59392055720093
3.0,496.8130612569279,39744.32415855583,23349.49147863522,5564.269373339838,459.89088083580134
4.0,495.7507483425705,39659.09887807444,23299.321971513626,5552.359164453117,613.1878411144019
5.0,494.68843542821315,39573.87359759305,23249.15246439203,5540.448955566397,766.4848013930023
6.0,493.62612251385576,39488.648317111656,23198.98295727044,5528.638927819558,919.7817616716027
7.0,492.5638095994984,39403.423036630265,23148.813450148846,5516.82890007272,1073.078721950203
8.0,491.501496685141,39318.197756148875,23098.64394302725,5515.03698631402,1216.3575682406624
9.0,490.43918377078364,39232.972475667484,23049.64943590566,5503.3493904392835,1369.6545285192628
10.0,489.37687085642625,39147.74719518609,23001.046595450734,5491.661794564547,1522.9514887978632
11.0,488.3145579420689,39062.5219147047,23070.341393508545,5413.884052566688,1664.0052618662517
12.0,487.2522450277115,38977.29663422331,23081.473691566356,5362.096456691951,1817.302222144852
13.0,486.18993211335413,38892.07135374192,23093.501766535017,5309.245009543318,1970.5991824234527
14.0,485.1276191989968,38806.84607326053,23104.63406459283,5256.516964944181,2123.896142702053
15.0,484.0653062846394,38724.02697193925,23057.01636265064,5243.14225367838,2277.1931029806537
16.0,483.00299337028207,38641.207870617975,23009.39866070845,5230.2342090792445,2430.490063259254
17.0,481.9406804559246,38800.42845726246,22721.163042755015,5282.659497813442,2518.4536902045215
18.0,480.8783675415673,38719.031127895694,22666.477189529993,5316.418119880975,2625.083983816455
19.0,479.8327212938766,38779.81099398015,22471.69668512247,5303.510075281838,2778.380944095056
20.0,478.7870750461859,38698.413664613385,22414.91692104979,5290.602030682704,2931.677904373656
21.0,479.38726213182855,38614.51633524662,22567.945034176577,5138.857701502544,3084.9748646522567
22.0,478.26307421747117,38532.71900587985,22512.718720431825,5124.295437342444,3238.2718249308573
23.0,477.8860800748844,38449.671676513084,22615.447072745315,5006.778603096026,3391.5687852094575
24.0,476.56382680942653,38367.67434714632,22562.830392265412,4992.998293076485,3544.865745488058
25.0,475.1138400808957,38285.67701777955,22771.17703827044,4866.5458601195305,3637.28419483935
26.0,473.52574329444496,38203.67968841278,22718.560357790542,4991.8291061496975,3649.8696160114637
27.0,471.8439872997713,38121.68235904601,22669.005918466908,5018.892525596004,3760.6748637674364
28.0,470.0285988336169,38039.68502967924,22619.451479143274,5003.464232519682,3913.971824046037
29.0,472.8724026736127,37950.42887666535,22876.121155446246,4785.29505122196,4067.2687843246376
30.0,470.72708319054794,37867.27013551504,22826.566716122616,4769.204736889644,4220.565744603238
31.0,470.76851296306427,37780.63118317313,22777.012276798978,4893.966642191006,4233.01048524816
32.0,470.81222625747733,37693.221805480796,22727.457837475347,4914.366336266951,4350.119940049399
33.0,472.9641579498365,37601.76536989765,22677.903398151713,4898.578524865532,4503.4169003279985
34.0,475.6460461095191,37510.64198456281,22628.348958828083,4913.041006553863,4626.46356751685
35.0,476.5167440846022,37420.6274279574,22579.964504609154,4897.253195152444,4779.76052779545
36.0,476.39731609233223,37590.05729985182,22272.57635424626,4881.558717084359,4933.0574880740505
37.0,478.4931872499082,37498.39029000225,22336.370734153268,4787.091419489723,5086.354448352651
38.0,479.7620406415206,37406.47115424299,22280.378046360107,4780.990760647514,5230.318075297918
39.0,483.0173171593158,37517.200278908975,22018.602264808284,4874.079329161026,5275.092474887463
40.0,480.5265573480699,37430.89358109578,21956.564698635964,4871.497187788329,5415.713395378024
41.0,483.4930286994304,37444.15372067048,21787.901974969798,4856.239006627592,5569.010355656625
42.0,486.0918632169701,37536.6288944563,21536.63819254756,4858.561926947421,5704.726214454658
43.0,487.2632285970271,37444.540819790716,21628.675185957854,4737.822717919926,5858.023174733258
44.0,493.5053220537088,37344.48038970945,21682.141009408646,4642.3811389832545,6011.320135011859
45.0,500.4235443068897,37585.10599380336,21501.162689751523,4473.951582444037,6164.617095290459
46.0,497.89054818229323,37611.59342535857,21456.38722592062,4357.424864742872,6317.914055569059
47.0,497.7791471191913,37516.39696142931,21465.859346044577,4350.541660117734,6402.384601527094
48.0,499.23138209666536,37518.250920985374,21290.81747991582,4351.7257971748595,6534.751847323212
49.0,510.58942007718827,37405.07895539746,21501.982484440938,4141.010528273886,6688.048807601813
50.0,507.5698629162214,37310.02366830502,21427.191846855327,4165.053293399934,6795.526676884589
51.0,507.29875237620166,37347.51397761779,21423.36632694906,4032.1030041722315,6924.065130835612
52.0,510.16800254694454,37243.46649933398,21431.59340097998,3953.905783808822,7077.3620911142125
53.0,507.2259063439218,37147.18246165092,21352.79320524996,4170.8619896780065,6993.191747638658
54.0,505.4036467701525,37051.62628702253,21273.993009519945,4238.679517115974,7059.4359877707275
55.0,510.3492762966649,36945.9210245046,21195.19281378993,4256.187027219615,7176.810640202086
56.0,516.1371563569095,37034.90930128128,20918.606312592517,4365.924904055207,7202.51708283991
57.0,521.7733221767916,36924.13365473823,20833.996144139393,4430.111759746142,7273.774546622391
58.0,523.8561234083359,36816.535364524796,20749.385975686277,4469.250753871314,7370.8558130592155
59.0,521.0884073145014,36719.66551173319,20664.775807233153,4453.143145109945,7524.152773337816
60.0,519.0673263876477,36621.54565894158,20580.165638780036,4514.837182794946,7599.8556247584265
61.0,528.9428872873835,36968.82407321664,20036.234512117975,4595.846207145478,7656.243489513503
62.0,527.5194672274467,36870.4829515288,19940.897068153223,4600.699894810421,7788.786690954173
63.0,524.4230788148059,37205.7134591917,19416.183054643912,4585.821806019153,7942.083651232773
64.0,521.5092403933038,37109.47233750387,19591.747407389856,4386.785386082327,8095.380611511373
65.0,518.699985796588,37013.23121581604,19705.309303088863,4332.537135233397,8146.4793336178345
66.0,529.5121369424028,36896.684300950525,20107.061822692332,4006.421695392847,8280.425170067252
67.0,528.6020841537857,36794.69425235425,20516.508613115042,3663.9304276414373,8423.194643735467
68.0,526.1676082863939,36694.804203757994,20661.421388308485,3806.77706782325,8256.13207230415
