"tick","IdSupplier","IdClient","LocationX","LocationY","Size","LargestQuality","Connected"
5.0,12,19,44.6,40.300000000000004,1.0733693558722734,40.0,"false"
6.0,12,19,47.6,39.550000000000004,1.0733693558722734,40.0,"true"
7.0,12,19,50.6,38.800000000000004,1.0733693558722734,40.0,"true"
8.0,10,18,32.6,44.5,5.0,60.0,"false"
8.0,22,21,44.6,20.599999999999998,1.3117700582370162,40.0,"false"
8.0,11,16,32.6,34.5,5.0,40.0,"false"
9.0,10,18,35.6,42.25,5.0,60.0,"true"
9.0,14,12,32.6,15.3,5.0,40.0,"false"
9.0,22,21,47.6,22.599999999999998,1.3117700582370162,40.0,"false"
9.0,11,16,35.6,24.75,5.0,40.0,"true"
10.0,10,18,38.6,40.0,5.0,60.0,"true"
10.0,14,12,35.6,24.55,5.0,40.0,"true"
10.0,14,12,32.6,15.3,5.076236332837944,40.0,"true"
10.0,22,21,50.6,24.599999999999998,1.3117700582370162,40.0,"false"
10.0,11,16,38.6,15.0,5.0,40.0,"true"
11.0,14,12,38.6,33.8,5.0,40.0,"true"
11.0,14,12,35.6,24.55,5.076236332837944,40.0,"true"
11.0,15,20,32.6,9.0,5.0,40.0,"false"
12.0,14,12,38.6,33.8,5.076236332837944,40.0,"true"
12.0,15,20,35.6,15.5,5.0,40.0,"false"
13.0,15,20,38.6,22.0,5.0,40.0,"false"
14.0,16,13,44.599999999999994,17.4,1.0,60.0,"true"
14.0,6,10,20.6,39.5,29.24512143654283,40.0,"false"
14.0,8,11,20.6,37.800000000000004,30.909357566270046,40.0,"false"
14.0,24,23,44.6,16.7,1.0,40.0,"false"
14.0,20,23,44.6,25.099999999999998,5.0,40.0,"true"
15.0,16,13,47.599999999999994,25.9,1.0,60.0,"true"
15.0,6,10,23.6,42.25,29.24512143654283,40.0,"true"
15.0,16,25,44.6,8.7,5.0,40.0,"true"
15.0,8,11,23.6,40.800000000000004,30.909357566270046,40.0,"true"
15.0,24,23,47.6,17.95,1.0,40.0,"false"
15.0,20,23,47.6,23.349999999999998,5.0,40.0,"true"
16.0,16,13,50.599999999999994,34.4,1.0,60.0,"true"
16.0,6,10,26.6,45.0,29.24512143654283,40.0,"true"
16.0,16,25,47.6,9.95,5.0,40.0,"true"
16.0,8,11,26.6,43.800000000000004,30.909357566270046,40.0,"true"
16.0,24,23,50.6,19.2,1.0,40.0,"false"
16.0,7,14,20.6,9.1,35.54429886280559,40.0,"false"
16.0,20,23,50.6,21.599999999999998,5.0,40.0,"true"
17.0,16,25,50.6,11.2,5.0,40.0,"true"
17.0,7,14,23.6,7.35,35.54429886280559,40.0,"true"
18.0,0,0,2.2,15.2,0.25,60.0,"true"
18.0,5,8,8.6,27.9,5.0,40.0,"true"
18.0,5,5,2.2,25.2,0.25,40.0,"true"
18.0,0,6,8.6,21.5,5.0,60.0,"true"
18.0,10,18,32.6,44.5,12.723781010343398,40.0,"true"
18.0,7,14,26.6,5.6,35.54429886280559,40.0,"true"
18.0,11,16,32.6,34.5,5.0,40.0,"true"
19.0,5,5,2.2,25.2,0.7375,40.0,"true"
19.0,0,0,3.2,15.2,0.25,60.0,"true"
19.0,5,8,11.6,30.15,5.0,40.0,"true"
19.0,0,0,2.2,15.2,0.7375,60.0,"true"
19.0,5,5,3.2,25.2,0.25,40.0,"true"
19.0,0,6,11.6,26.75,5.0,60.0,"true"
19.0,10,18,35.6,42.25,12.723781010343398,40.0,"true"
19.0,11,16,35.6,24.75,5.0,40.0,"true"
20.0,5,5,3.2,25.2,0.7375,40.0,"true"
20.0,0,0,3.2,15.2,0.7375,60.0,"true"
20.0,5,5,4.2,25.2,0.25,40.0,"true"
20.0,0,6,14.6,32.0,5.0,60.0,"true"
20.0,2,2,2.2,7.2,0.25,40.0,"true"
20.0,11,16,38.6,15.0,5.0,40.0,"true"
20.0,0,0,4.2,15.2,0.25,60.0,"true"
20.0,5,8,14.6,32.4,5.0,40.0,"true"
20.0,2,7,8.6,8.4,5.0,40.0,"true"
20.0,0,0,2.2,15.2,1.3282164797279352,60.0,"true"
20.0,10,18,38.6,40.0,12.723781010343398,40.0,"true"
20.0,10,18,32.6,44.5,13.220853854756204,40.0,"true"
20.0,5,5,2.2,25.2,1.331318861348262,40.0,"true"
21.0,5,5,4.2,25.2,0.7375,40.0,"true"
21.0,0,0,4.2,15.2,0.7375,60.0,"true"
21.0,5,5,2.2,25.2,2.008171493710084,40.0,"true"
21.0,2,2,3.2,7.2,0.25,40.0,"true"
21.0,0,0,2.2,15.2,1.999462086838455,60.0,"true"
21.0,2,7,11.6,9.4,5.0,40.0,"true"
21.0,2,2,2.2,7.2,0.7375,40.0,"true"
21.0,0,0,3.2,15.2,1.3282164797279352,60.0,"true"
21.0,10,18,35.6,42.25,13.220853854756204,40.0,"true"
21.0,5,5,3.2,25.2,1.331318861348262,40.0,"true"
22.0,2,2,2.2,7.2,1.3469776195894472,40.0,"true"
22.0,11,16,32.6,34.5,22.209644807227534,40.0,"true"
22.0,0,0,2.2,15.2,2.717995729148445,60.0,"true"
22.0,5,5,3.2,25.2,2.008171493710084,40.0,"true"
22.0,2,2,4.2,7.2,0.25,40.0,"true"
22.0,18,17,44.6,27.700000000000003,6.5226975993544425,40.0,"true"
22.0,0,0,3.2,15.2,1.999462086838455,60.0,"true"
22.0,2,7,14.6,10.4,5.0,40.0,"true"
22.0,2,2,3.2,7.2,0.7375,40.0,"true"
22.0,0,0,4.2,15.2,1.3282164797279352,60.0,"true"
22.0,5,5,2.2,25.2,2.734301496473849,40.0,"true"
22.0,10,18,38.6,40.0,13.220853854756204,40.0,"true"
22.0,5,5,4.2,25.2,1.331318861348262,40.0,"true"
23.0,0,0,2.2,15.2,3.4466122188360035,60.0,"true"
23.0,16,25,44.6,8.7,5.0,40.0,"true"
23.0,2,2,3.2,7.2,1.3469776195894472,40.0,"true"
23.0,11,16,35.6,24.75,22.209644807227534,40.0,"true"
23.0,0,0,3.2,15.2,2.717995729148445,60.0,"true"
23.0,5,5,4.2,25.2,2.008171493710084,40.0,"true"
23.0,18,17,47.6,18.950000000000003,6.5226975993544425,40.0,"true"
23.0,0,0,4.2,15.2,1.999462086838455,60.0,"true"
23.0,5,5,2.2,25.2,3.4718145413282557,40.0,"true"
23.0,2,2,4.2,7.2,0.7375,40.0,"true"
23.0,12,19,44.6,40.300000000000004,10.076236332837944,40.0,"true"
23.0,5,5,3.2,25.2,2.734301496473849,40.0,"true"
23.0,2,2,2.2,7.2,2.054184082384433,40.0,"true"
24.0,0,0,3.2,15.2,3.4466122188360035,60.0,"true"
24.0,16,25,47.6,9.95,5.0,40.0,"true"
24.0,2,2,4.2,7.2,1.3469776195894472,40.0,"true"
