"tick","Money avg. 1 Producers","Money avg. 2 Internationals","Money avg. 3 Wholesalers","Money avg. 4 Retailers","Money avg. 5 Consumers"
1.0,498.93768708564266,39914.77471951861,23449.830492878405,5588.08979111328,153.29696027860044
2.0,497.8753741712853,39829.54943903722,23399.66098575681,5576.1795822265585,306.5939205572009
3.0,496.8130612569279,39744.32415855583,23349.49147863522,5564.269373339839,459.89088083580134
4.0,495.7507483425705,39659.09887807444,23299.321971513626,5552.359164453117,613.1878411144017
5.0,494.68843542821315,39573.87359759305,23249.15246439203,5540.448955566397,766.4848013930023
6.0,493.62612251385576,39488.648317111656,23198.98295727044,5528.661178551779,919.7817616716027
7.0,492.5638095994984,39403.423036630265,23148.813450148846,5516.87340153716,1073.078721950203
8.0,491.501496685141,39318.197756148875,23098.64394302725,5517.328811732754,1214.1324950185913
9.0,490.43918377078364,39232.972475667484,23048.474435905657,5505.541034718135,1367.429455297192
10.0,489.37687085642625,39147.74719518609,23000.193414686,5493.753257703517,1520.7264155757923
11.0,488.3145579420689,39062.5219147047,22951.912393466344,5481.965480688898,1674.0233758543927
12.0,487.2522450277115,38977.29663422331,23092.479962440204,5344.278643545267,1827.3203361329934
13.0,486.18993211335413,38892.07135374192,23045.00671150941,5331.457459289395,1980.6172964115938
14.0,485.12761919899674,38807.84607326053,22997.533460578612,5318.636275033522,2133.914256690194
15.0,484.0653062846394,38725.04256473365,23030.837238534186,5298.630404853406,2240.5445503021283
16.0,483.00299337028207,38742.239056206774,22883.363987603396,5285.260920793614,2393.8415105807285
17.0,481.9406804559247,38802.61274313112,22690.776041221376,5272.264770067155,2547.1384708593296
18.0,480.8867008749006,38720.80923460424,22636.1888351742,5268.736796638864,2691.1020978045963
19.0,479.8410546272099,38739.00572607736,22481.60162912703,5293.775563785159,2807.065724749864
20.0,479.6141583795192,38655.95221755048,22425.434044063717,5294.965394081561,2946.878288545025
21.0,479.3438246318285,38572.69870902361,22370.655809599848,5339.344885353206,3043.501191364943
22.0,478.17640563768333,38490.49520049673,22452.387321328835,5236.575586908822,3196.7981516435434
23.0,476.94292514803215,38408.29169196984,22537.341794615866,5130.786588169453,3350.095111922144
24.0,475.61946292677226,38326.08818344296,22563.12598864298,5063.340844630756,3503.392072200744
25.0,475.19380950018166,38242.341875204045,22509.145401985945,5069.1317843224,3635.995277120943
26.0,474.6411137804,38158.304680303045,22458.37845821441,5054.983817166375,3789.2922373995434
27.0,472.8777874112199,38075.60042967501,22408.332457059325,5041.12198292232,3942.5891976781436
28.0,470.981364356463,37992.89617904697,22679.650744453782,4888.69377876172,4020.401306883342
29.0,469.0056005150903,37910.191928418935,22703.65915829507,4854.530026039986,4145.084975965062
30.0,467.81716574252266,37826.17457797435,22655.573310491418,4858.406963887739,4279.218131935327
31.0,470.086093481989,37736.62653604627,22803.502797830715,4864.8103334024345,4281.647666956707
32.0,469.918747583251,37649.434187855695,22755.416950027055,4849.889692462202,4434.944627235307
33.0,473.9628109092175,37555.13063985243,22707.331102223397,4985.592049741747,4438.271506177685
34.0,472.32481298820016,37470.44248411801,22659.245254419744,5014.314059125812,4549.215871388606
35.0,475.0756043247052,37378.67812870434,22611.159406616087,5066.99265578201,4637.2211433116245
36.0,473.8473897597435,37578.36154272502,22276.13673593741,5118.310397384454,4726.804266284214
37.0,470.9421052531598,37493.19919740173,22220.8330551639,5207.663700104187,4778.351828139512
38.0,472.455371625505,37403.46480468886,22165.5293743904,5216.967203982263,4909.949188836472
39.0,475.72439322098387,37309.91600586301,22237.525881615205,5124.135626256644,5063.246149115072
40.0,474.3359835169559,37442.67606407647,21969.000646315882,5111.071250269695,5216.543109393672
41.0,474.0380906363535,37353.98585285402,22535.74454544994,4713.5955002582605,5340.4802578433955
42.0,476.0644746015797,37401.438719333935,22342.438906571224,4695.756025043822,5493.777218121996
43.0,473.2112584289806,37315.00299360676,22448.23863126976,4569.254254317138,5647.074178400597
44.0,471.6443469759967,37226.93672615215,22474.890206053242,4511.287006000105,5784.87709530481
45.0,475.5966566443246,37130.485584482194,22426.642590346444,4493.173763532253,5938.17405558341
46.0,481.8819787253793,37029.31557186331,22379.062141116952,4632.162054029259,5934.49647088482
47.0,485.3160737703189,36934.42508316019,23226.091978190867,4029.6236687787596,6076.0742156547285
48.0,496.9186073160131,36828.13068330781,23245.228176692308,3972.8878349077727,6216.672377166776
49.0,499.20832470580643,37138.21501430409,22793.718512053376,3961.6244125763483,6356.418211785521
50.0,498.29290096004496,37289.65549600248,22494.442860577266,3936.8098645850687,6509.71517206412
51.0,498.7827618842875,37406.53277281129,22222.265516510924,3982.257331408743,6595.785399098919
52.0,498.59211649110483,37523.32821836362,21948.343663441632,3960.8960839261417,6749.082359377519
53.0,499.16176432990756,37664.801046015855,21644.398579676337,4243.812451990665,6598.851162540974
54.0,497.74790482895514,37578.113846105174,21978.198731991466,3989.5163835577214,6710.346229066871
55.0,500.2606284165004,37647.83424679311,21825.094801460735,3986.758439021324,6788.697346147587
56.0,504.6767920084366,37553.57772850903,21742.77059433399,4026.2056692039023,6882.297557565786
57.0,509.719049713886,37703.00877716884,21415.073456586884,4380.718197603715,6660.83247076675
58.0,519.0725093838951,37597.60403063178,21596.4764878208,4180.445246021212,6814.1294310453495
