"tick","Money avg. 1 Producers","Money avg. 2 Internationals","Money avg. 3 Wholesalers","Money avg. 4 Retailers","Money avg. 5 Consumers"
1.0,498.93768708564266,39914.77471951861,23449.830492878405,5588.08979111328,153.29696027860044
2.0,497.8753741712853,39829.54943903722,23399.66098575681,5576.1795822265585,306.5939205572009
3.0,496.8130612569279,39744.32415855583,23349.49147863522,5564.269373339838,459.89088083580134
4.0,495.7507483425705,39659.09887807444,23299.321971513626,5552.359164453118,613.1878411144017
5.0,494.68843542821315,39573.87359759305,23249.15246439203,5540.82228889973,766.4848013930023
6.0,493.62612251385576,39488.648317111656,23198.98295727044,5529.2854133463425,919.7817616716027
7.0,492.5638095994984,39403.423036630265,23148.813450148846,5555.081871126289,1035.7453886168698
8.0,491.501496685141,39318.197756148875,23098.64394302725,5543.544995572902,1189.0423488954702
9.0,490.43918377078364,39232.972475667484,23050.628602572324,5532.0081200195145,1342.3393091740706
10.0,489.37687085642625,39147.74719518609,23003.016208747445,5520.471244466127,1495.636269452671
11.0,488.31455794206886,39062.5219147047,23190.403814922563,5352.267702246073,1648.9332297312717
12.0,487.2522450277115,38977.29663422331,23203.233415604467,5299.285249554079,1802.2301900098723
13.0,486.1899321133542,38895.07135374192,23155.621021779585,5286.872740125159,1955.5271502884725
14.0,485.12761919899674,38812.84607326053,23108.008627954703,5346.347717268613,2037.24885730874
15.0,484.0653062846394,39030.62079277914,22760.39623412982,5409.955086832398,2115.007129429061
16.0,483.00299337028207,38948.39551229775,22705.267355938253,5429.421699220971,2237.080758303608
17.0,481.95734712259133,38866.17023181636,22651.467979897905,5434.735487328425,2373.4819665436676
18.0,480.9117008749006,38783.94495133497,22729.477726082623,5354.212439078127,2509.318968920845
19.0,481.50355462720995,38699.21967085358,22813.424622636332,5270.914237282839,2645.140420760178
20.0,480.37103337951925,38616.594390372185,22998.679629633796,5102.443746315676,2798.4373810387788
21.0,479.1672394880962,38534.96910989079,23209.795995282693,4963.2363908141215,2904.6153742001516
22.0,477.88086172926194,38453.3438294094,23224.424498593482,4954.897488842364,3009.6851971386036
23.0,476.52294157698975,38471.71854892801,23141.31165613296,4978.175605546006,3081.9730014146794
24.0,475.07933991484526,38390.09326844662,23090.640664015253,5046.313867049489,3152.8212190082463
25.0,475.40889971838857,38305.64979696305,23039.969671897547,5116.483460098794,3222.5054599864943
26.0,474.5639647786544,38222.32360592131,22989.298679779837,5188.898140902912,3290.460041269337
27.0,474.8321213891309,38136.968802500196,22938.62768766213,5263.089684556148,3357.0215084974534
28.0,472.92175102346147,38055.27827144701,22887.956695544424,5302.291577373056,3458.775662835346
29.0,476.5448435568502,37964.9847289613,22837.285703426718,5328.525249954752,3573.697743674817
30.0,476.27781322535293,37987.69311871896,22678.790914384423,5336.687670442126,3706.6910766086116
31.0,476.063982606273,37901.68380624252,22625.540098232053,5344.517090221509,3840.0174102503975
32.0,477.024515499156,37923.34911253075,22463.624278091098,5332.375883364077,3993.314370528998
33.0,477.09131383706267,37835.93809571341,22468.33983103293,5281.068009839977,4146.611330807598
34.0,478.27365356860184,37853.78278357239,22369.742425513556,5228.313848782618,4299.908291086199
35.0,480.21020083412526,37762.646496913614,22516.881549387872,5081.314090507971,4453.205251364799
36.0,483.32042451251544,37800.96923650797,22534.311906216197,4931.544635636588,4606.502211643399
37.0,485.1931667032452,37708.629470028114,22664.379529036087,4792.207495910827,4759.799171922
38.0,488.29852837789053,37612.912424255475,22671.51399555928,4778.476003881983,4869.412742742264
39.0,490.68626278594155,37717.38723242028,22565.292542392315,4708.213383966508,4978.408232649934
40.0,493.92503750517864,37619.9832902098,22655.060870623307,4655.350067014477,5068.228874991395
41.0,494.98684102240526,37625.014271678854,22580.41753621804,4653.906918300479,5149.032086038293
42.0,497.13466971835055,37644.50107366767,22401.596036159757,4700.966545453783,5238.15511369692
43.0,500.73258798891095,37652.49615008416,22230.156909708086,4749.485262065785,5326.398344214415
44.0,502.9924875536792,37655.96833395451,22122.84701297516,4759.680198591499,5413.939742463201
45.0,507.4019308738006,37674.45363887854,22127.178289865187,4674.862810094051,5509.307470985079
46.0,510.3752454428223,37679.24391510079,22241.40126175304,4481.846305232565,5648.499000096715
47.0,513.4937814569091,37694.33558756884,22281.289180242165,4375.232300004384,5742.243139636459
48.0,517.5065320562358,37731.34439756329,22295.222774554015,4304.002554381961,5801.687269532003
49.0,520.6912952152252,37729.957018467714,22385.288908992447,4236.407485928885,5830.629171905115
50.0,523.0538123256456,37730.219639372124,22575.031101729754,4101.9590451761605,5858.390223967002
51.0,526.8698377324217,37734.810545839515,22569.514497054664,4091.9263330189456,5885.092738188651
52.0,531.3790803133938,37831.073961798495,22468.63754671123,4081.6574127881495,5910.849747919723
53.0,536.5845406559024,37929.82934767391,22265.61587399785,4132.655499172288,5935.765629519514
54.0,542.4081091216935,37821.48896858061,22262.62726485866,4151.096991150853,5991.905472969518
55.0,544.4577948153965,37818.96460440104,22073.321665056847,4172.665792490246,6100.898864767782
56.0,543.8658610887608,37716.90734539175,21983.87311683758,4203.473847333823,6201.2699616379305
57.0,543.5700950311542,37613.86397594141,21895.04180235193,4243.543006578081,6292.599799632717
58.0,544.4604228168366,37508.47366914293,21865.60607179819,4244.404893061208,6384.200902304332
