"tick","Money avg. 1 Producers","Money avg. 2 Internationals","Money avg. 3 Wholesalers","Money avg. 4 Retailers","Money avg. 5 Consumers"
1.0,498.9376870856426,39914.77471951861,23449.830492878405,5588.08979111328,153.29696027860044
2.0,497.8753741712853,39829.54943903722,23399.66098575681,5576.179582226559,306.5939205572009
3.0,496.8130612569279,39744.32415855583,23349.49147863522,5564.269373339839,459.8908808358014
4.0,495.7507483425705,39659.09887807444,23299.321971513626,5552.359164453118,613.1878411144017
5.0,494.68843542821315,39573.87359759305,23249.15246439203,5540.82228889973,766.4848013930023
6.0,493.62612251385576,39488.648317111656,23198.98295727044,5529.285413346343,919.7817616716028
7.0,492.5638095994984,39403.423036630265,23148.813450148846,5555.081871126289,1035.7453886168698
8.0,491.501496685141,39318.197756148875,23098.64394302725,5543.544995572902,1189.0423488954702
9.0,490.4391837707837,39232.972475667484,23050.628602572324,5532.008120019515,1342.3393091740706
10.0,489.37687085642625,39147.74719518609,23003.016208747442,5520.471244466127,1495.636269452671
11.0,488.3145579420689,39062.5219147047,23190.403814922563,5352.267702246073,1648.9332297312717
12.0,487.2522450277115,38977.29663422331,23203.233415604467,5299.285249554079,1802.2301900098723
13.0,486.18993211335413,38895.07135374192,23155.62102177958,5286.872740125159,1955.5271502884727
14.0,485.12761919899674,38812.84607326053,23108.008627954703,5346.3477172686125,2037.2488573087398
15.0,484.0653062846394,39030.62079277914,22760.396234129825,5409.955086832398,2115.0071294290615
16.0,483.00299337028207,38948.39551229775,22705.267355938253,5429.421699220971,2237.080758303608
17.0,481.96568045592466,38866.17023181636,22651.467979897905,5434.735487328424,2373.481966543668
18.0,480.9283675415673,38783.94495133497,22729.477726082623,5354.212439078127,2509.318968920845
19.0,482.34730462720995,38697.96967085358,22812.83712263633,5270.914237282839,2645.140420760178
20.0,481.1796792128526,38615.14439037218,22998.134240502222,5102.443746315676,2798.4373810387788
21.0,479.90440589745964,38533.31910989079,23150.54271701954,5002.403057480789,2904.6153742001516
22.0,478.5039032676571,38451.4938294094,23228.174418041177,4952.556764280747,3009.685197138603
23.0,476.9848328569088,38469.668548928006,23145.10368644908,4975.674628849134,3081.97300141468
24.0,475.34331559950505,38387.84326844661,23094.474805199796,5043.524471096947,3152.8212190082463
25.0,475.42536369929445,38303.2005725873,23044.43342395051,5100.596329755299,3235.185696729602
26.0,475.52475358860545,38217.80563495345,22994.984279422984,5159.647222751426,3315.9569900536285
27.0,475.42729561641363,38131.956274092525,23004.881988800058,5181.217184753592,3395.4262964993395
28.0,474.39834338833094,38046.7241562495,23015.854696486946,5166.965075123989,3510.1382627334942
29.0,477.5864667068329,37954.46387129881,23027.289122459508,5151.924315795936,3625.0603435729654
