"tick","Id","LocationX","LocationY","Money"
1.0,1,5,31,498.9382880115183
1.0,15,29,1,23449.787301572815
1.0,21,53,28,63.11741903424263
1.0,6,17,14,39915.32078057015
1.0,17,53,4,85.53971481323242
1.0,0,5,40,498.93522658240397
1.0,18,41,35,5588.011489509139
1.0,13,53,42,249.74897505640982
1.0,14,29,5,23449.619694704008
1.0,25,53,9,213.3356119543314
1.0,9,17,26,39914.410682532936
1.0,24,41,10,5587.990936210994
1.0,11,29,43,23450.14605639226
1.0,10,29,44,23449.768918844544
1.0,12,41,46,5588.1989131607115
1.0,3,5,26,498.9467460887972
1.0,16,41,6,5588.043691326836
1.0,8,17,32,39915.0545027894
1.0,2,5,42,498.92915143690186
1.0,19,53,39,75.80031242221594
1.0,4,5,24,498.9274258133315
1.0,22,41,22,5588.065408767387
1.0,7,17,43,39914.31291218195
1.0,5,5,20,498.9492845809029
1.0,23,53,23,232.2397283911705
1.0,20,41,27,5588.228307704609
2.0,1,5,31,497.8765760230366
2.0,15,29,1,23399.57460314563
2.0,21,53,28,126.23483806848526
2.0,6,17,14,39830.641561140306
2.0,17,53,4,171.07942962646484
2.0,0,5,40,497.87045316480794
2.0,18,41,35,5576.022979018278
2.0,13,53,42,499.49795011281964
2.0,14,29,5,23399.239389408016
2.0,25,53,9,426.6712239086628
2.0,9,17,26,39828.82136506587
2.0,24,41,10,5575.981872421988
2.0,11,29,43,23400.29211278452
2.0,10,29,44,23399.537837689088
2.0,12,41,46,5576.397826321423
2.0,3,5,26,497.89349217759445
2.0,16,41,6,5576.087382653672
2.0,8,17,32,39830.10900557879
2.0,2,5,42,497.8583028738037
2.0,19,53,39,151.60062484443188
2.0,4,5,24,497.85485162666305
2.0,22,41,22,5576.130817534775
2.0,7,17,43,39828.6258243639
2.0,5,5,20,497.89856916180577
2.0,23,53,23,464.479456782341
2.0,20,41,27,5576.456615409217
3.0,1,5,31,496.8148640345549
3.0,15,29,1,23349.361904718444
3.0,21,53,28,189.3522571027279
3.0,6,17,14,39745.96234171046
3.0,17,53,4,256.61914443969727
3.0,0,5,40,496.8056797472119
3.0,18,41,35,5564.034468527418
3.0,13,53,42,749.2469251692295
3.0,14,29,5,23348.859084112024
3.0,25,53,9,640.0068358629942
3.0,9,17,26,39743.23204759881
3.0,24,41,10,5563.9728086329815
3.0,11,29,43,23350.438169176778
3.0,10,29,44,23349.30675653363
3.0,12,41,46,5564.596739482135
3.0,3,5,26,496.8402382663917
3.0,16,41,6,5564.131073980508
3.0,8,17,32,39745.16350836819
3.0,2,5,42,496.7874543107056
3.0,19,53,39,227.40093726664782
3.0,4,5,24,496.7822774399946
3.0,22,41,22,5564.196226302162
3.0,7,17,43,39742.93873654585
3.0,5,5,20,496.84785374270865
3.0,23,53,23,696.7191851735115
3.0,20,41,27,5564.684923113826
4.0,1,5,31,495.7531520460732
4.0,15,29,1,23299.14920629126
4.0,21,53,28,252.46967613697052
4.0,6,17,14,39661.28312228061
4.0,17,53,4,342.1588592529297
4.0,0,5,40,495.7409063296159
4.0,18,41,35,5552.045958036557
4.0,13,53,42,998.9959002256393
4.0,14,29,5,23298.478778816032
4.0,25,53,9,853.3424478173256
4.0,9,17,26,39657.642730131745
4.0,24,41,10,5551.963744843975
4.0,11,29,43,23300.584225569037
4.0,10,29,44,23299.075675378175
4.0,12,41,46,5552.795652642846
4.0,3,5,26,495.7869843551889
4.0,16,41,6,5552.1747653073435
4.0,8,17,32,39660.21801115759
4.0,2,5,42,495.71660574760745
4.0,19,53,39,303.20124968886375
4.0,4,5,24,495.7097032533261
4.0,22,41,22,5552.26163506955
4.0,7,17,43,39657.251648727804
4.0,5,5,20,495.79713832361153
4.0,23,53,23,928.958913564682
4.0,20,41,27,5552.913230818434
5.0,1,5,31,494.6914400575915
5.0,15,29,1,23248.936507864073
5.0,21,53,28,315.58709517121315
5.0,6,17,14,39576.603902850766
5.0,17,53,4,427.6985740661621
5.0,0,5,40,494.67613291201985
5.0,18,41,35,5540.057447545696
5.0,13,53,42,1248.7448752820492
5.0,14,29,5,23248.09847352004
5.0,25,53,9,1066.678059771657
5.0,9,17,26,39572.05341266468
5.0,24,41,10,5540.514681054969
5.0,11,29,43,23250.730281961296
5.0,10,29,44,23248.84459422272
5.0,12,41,46,5541.554565803558
5.0,3,5,26,494.73373044398613
5.0,16,41,6,5540.218456634179
5.0,8,17,32,39575.272513946984
5.0,2,5,42,494.6457571845093
5.0,19,53,39,379.0015621110797
5.0,4,5,24,494.6371290666576
5.0,22,41,22,5540.887043836937
5.0,7,17,43,39571.564560909756
5.0,5,5,20,494.7464229045144
5.0,23,53,23,1161.1986419558525
5.0,20,41,27,5541.701538523043
6.0,1,5,31,493.6297280691098
6.0,15,29,1,23198.723809436888
6.0,21,53,28,378.7045142054558
6.0,6,17,14,39491.92468342092
6.0,17,53,4,513.2382888793945
