"tick","Money avg. 1 Producers","Money avg. 2 Internationals","Money avg. 3 Wholesalers","Money avg. 4 Retailers","Money avg. 5 Consumers"
1.0,498.9376870856426,39914.77471951861,23449.830492878405,5588.089791113279,153.29696027860044
2.0,497.8753741712853,39829.54943903722,23399.66098575681,5576.179582226559,306.5939205572009
3.0,496.8130612569279,39744.32415855583,23349.49147863522,5564.269373339838,459.89088083580134
4.0,495.7507483425705,39659.09887807444,23299.321971513626,5552.359164453118,613.1878411144017
5.0,494.6884354282131,39573.87359759305,23249.15246439203,5540.822288899731,766.4848013930023
6.0,493.6261225138557,39488.648317111656,23198.98295727044,5529.285413346343,919.7817616716027
7.0,492.5638095994984,39403.423036630265,23148.813450148846,5555.081871126289,1035.7453886168698
8.0,491.501496685141,39318.197756148875,23098.64394302725,5543.544995572902,1189.0423488954702
9.0,490.43918377078364,39232.972475667484,23050.628602572324,5532.0081200195145,1342.3393091740706
10.0,489.37687085642625,39147.74719518609,23003.016208747442,5520.471244466128,1495.636269452671
11.0,488.3145579420689,39062.5219147047,23190.403814922563,5352.267702246073,1648.9332297312717
12.0,487.2522450277115,38977.29663422331,23203.233415604467,5299.28524955408,1802.2301900098723
13.0,486.1899321133542,38895.07135374192,23155.621021779585,5286.872740125159,1955.5271502884725
14.0,485.1276191989968,38812.84607326053,23108.008627954703,5346.3477172686125,2037.24885730874
15.0,484.0653062846394,39030.62079277914,22760.396234129825,5409.955086832398,2115.007129429061
16.0,483.00299337028207,38948.39551229775,22705.267355938253,5429.421699220971,2237.080758303608
17.0,481.95734712259133,38866.17023181636,22651.467979897905,5434.735487328424,2373.481966543668
18.0,480.91170087490065,38783.94495133497,22729.477726082623,5354.212439078127,2509.3189689208452
19.0,481.50355462720995,38699.21967085358,22812.83712263633,5270.914237282839,2645.140420760178
20.0,480.37103337951925,38616.594390372185,22998.134240502222,5102.443746315676,2798.4373810387788
21.0,479.1681197557138,38534.96910989079,23150.54271701954,5002.403057480789,2904.6153742001516
22.0,477.8843681839774,38453.3438294094,23228.174418041177,4952.556764280747,3009.685197138603
23.0,476.5219377493161,38471.71854892801,23145.10368644908,4975.674628849134,3081.9730014146794
24.0,475.0894179238876,38390.09326844662,23094.474805199796,5043.524471096947,3152.8212190082463
25.0,474.46741549272986,38307.109545604224,23044.43342395051,5100.5963297553,3235.1856967296017
26.0,474.87740001925334,38222.185474546444,22994.984279422984,5159.647222751426,3315.9569900536285
27.0,474.1286995346732,38138.35733317843,23004.881988800058,5181.217184753592,3395.4262964993395
28.0,473.4990722933896,38054.98168564335,23015.854696486946,5166.965075123989,3510.1382627334942
29.0,476.30131439771355,37965.852928416294,23027.289122459508,5151.924315795936,3625.0603435729654
30.0,475.93379348414453,37987.715641982184,22931.37882235153,5118.040058985675,3758.05367650676
31.0,475.5963286821215,37902.10079350254,22880.664031254364,5123.52689464908,3891.380010148546
32.0,476.4659988343426,37814.916672407235,22830.677609847586,5109.137524860542,4044.676970427146
33.0,476.47601254229306,37851.214036672645,22728.401306108542,5057.339195625559,4188.640597372413
34.0,477.7540128293308,37868.710339496705,22643.18985983512,5003.864498308912,4332.4954391638685
35.0,480.62489854140506,37776.49293138662,22666.691071248722,4948.738369661862,4476.275707650228
36.0,482.58356778104303,37685.99641326377,22838.07026278508,4836.2315599624835,4580.229690352524
37.0,485.32895777253043,37730.28442630681,22877.34696277526,4720.838346557559,4683.648959905787
38.0,487.37902540701793,37849.338467772715,22843.367673309112,4612.101905127442,4777.251587534363
39.0,491.089740182427,37855.80145020156,22805.598394856082,4566.050062019929,4879.195342626571
40.0,493.7440715807219,37863.6420017839,22876.743630901954,4466.638562685141,4961.309276251049
41.0,497.3837890044977,37769.41029770358,23043.889412435547,4369.358164225596,5040.947342224806
42.0,502.14621916505257,38098.94335690354,22555.741488142685,4424.681912386412,5118.809912262179
43.0,506.39827672808525,38116.57152964333,22366.49387335571,4481.820791650438,5195.586837123093
44.0,510.0845235794628,38017.98728486404,22290.781470393405,4539.991154819051,5271.955514334207
45.0,514.9399340797781,38017.737841324764,22115.25618880266,4594.324823643373,5352.303881937522
46.0,520.740211545323,38014.039376869936,22028.632327507315,4577.4344149639455,5443.277216737444
47.0,525.8649713769821,38029.19364512867,21920.839351614322,4511.655960733752,5582.274572225218
48.0,528.2070919053626,37926.00971347366,21933.084915980464,4444.857383490145,5721.43938700323
49.0,530.6394778866365,37821.22578181865,21977.16426227248,4386.599055630593,5831.17875413659
50.0,531.5130569374586,37819.5391795304,21952.768662905735,4307.635467263082,5940.693611889543
51.0,533.4259440921016,37715.40257724215,21966.348242167835,4267.68179556256,6049.995185731105
52.0,533.0919239686544,37833.3489116305,21759.127854544764,4228.553505738632,6159.094139856849
53.0,533.0641257281691,37732.98812184701,21671.781074145263,4270.98440448049,6249.333938585897
54.0,533.3068352882979,37631.82733206352,21585.168464528993,4317.833085930109,6335.875995842717
55.0,533.800542836723,37752.4477927554,21348.81789424425,4320.419373342396,6419.445696800283
56.0,534.422201295097,37649.687002971914,21331.76530387361,4324.961269751623,6500.73853352572
57.0,535.1901211507117,37546.12621318842,21317.989840228627,4339.773153563426,6571.087947494625
58.0,535.9776333499253,37442.765423404926,21425.011641639896,4305.759201354123,6611.193109354288
59.0,536.7484788824721,37338.604633621435,21539.837545039176,4230.02997306052,6688.3143321806465
60.0,537.4859910816858,37334.64384383795,21562.137002020045,4141.621243380075,6773.53488040612
61.0,536.5318366142327,37234.40381647935,21610.042944526784,4149.094846864,6811.237293916792
62.0,533.9896176694948,37238.33840375404,21556.60560458994,4156.8995160271315,6851.24743098908
63.0,532.4211321314671,37343.099233518806,21475.56107173949,4102.67242381099,6903.717929551123
64.0,534.4980495077731,37447.796118693965,21450.105691865938,4005.769856793656,6955.72805376802
65.0,534.9461377398119,37347.71434191743,21625.382799695806,3938.3389297731387,6979.860880114542
66.0,535.3183123185954,37248.49152417877,21808.87028293405,3865.7670906638646,7004.597478426709
67.0,538.7344961192633,37245.47134156304,21900.51083872928,3822.50847706011,6995.901632111929
68.0,544.2696360462204,37239.82470837812,21991.1755140411,3750.467828360741,7012.996879575819
69.0,548.6648539281325,37237.19145499297,22136.799547221322,3640.4754481216896,7027.1111285250745
70.0,548.9410613010434,37135.626312323206,22168.713536673713,3616.7587339709694,7097.77948292182
71.0,551.3133947399109,37031.430810974074,22261.151789833097,3540.1845542908004,7182.059641788232
72.0,551.9860793282021,37028.78855174712,22256.408128024534,3473.3712735872264,7255.521607865377
73.0,555.817847996153,37021.103614257365,22311.180598182204,3331.5314846236133,7362.739573632462
74.0,558.6381694285633,36913.35563070455,22467.82538864328,3202.9894295247896,7453.808439691144
75.0,562.0085157594395,36803.67588306946,22570.103255001144,3119.0673051334434,7536.597970704739
76.0,562.7885889981814,36696.59431661775,22676.050543705624,3045.819526137307,7606.52575913076
77.0,561.0261549837427,36592.67491730442,22723.661254933584,3042.5094072272955,7645.374864020212
78.0,559.2939961951838,36488.755517991085,22705.06889092195,3100.014224289448,7668.021679575024
79.0,557.6624022050689,36384.836118677755,22621.940179692625,3217.924955463122,7674.338121683079
80.0,556.0797349954387,36280.916719364424,22538.8114684633,3342.070834305253,7676.05901350669
81.0,554.510421723595,36176.997320051094,22455.682757233975,3472.3518515528503,7672.962141053189
82.0,552.9717271565582,36073.07792073776,22373.141546004645,3611.1383350682463,7662.299362930757
83.0,551.4802458946998,35969.158521424426,22291.212763010542,3718.489066441859,7683.858910373643
84.0,550.0510751114831,35865.239122111096,22269.257785475904,3749.32474100454,7743.199810765625
85.0,548.6970261864586,35761.319722797765,22251.05990898965,3763.1634108090916,7817.839428690762
86.0,547.4124908211736,35657.40032348443,22296.48832073774,3700.8404787501677,7927.840108486021
87.0,546.1375705174207,35553.4809241711,22348.537967712728,3635.052954949722,8038.110889775197
88.0,544.8626502136676,35449.56152485777,22525.63821345177,3488.2013246793585,8146.96690594294
89.0,543.5877299099147,35345.64212554444,22713.232947002132,3337.441787046034,8252.689034583367
90.0,542.3128096061616,35241.722726231106,22907.46798711255,3149.6115474653866,8391.52638145524
91.0,541.0378893024086,35137.80332691777,23036.2493050717,3054.867970617807,8481.577805268731
92.0,539.7629689986557,35033.88392760444,23158.7435692721,3029.219525215402,8507.682414808129
93.0,538.4880486949028,34930.96452829111,23286.511513564616,3022.0519129630025,8513.039847439139
94.0,537.2131283911497,34829.063815221176,23418.248670960504,2987.90646947794,8544.011743599513
95.0,535.9382080873968,34829.21112265044,23449.77548399094,2994.3696222750664,8535.827965452825
96.0,534.6632877836437,34833.31779500129,23481.8851678664,3002.0623156027004,8523.9934206446
97.0,533.3883674798908,34942.397834197174,23412.549624602267,3016.177277076128,8503.805252515627
98.0,532.1217805094711,35057.829177355015,23264.562917411546,3099.6081952887457,8460.216389984951
99.0,530.8825660290008,35169.18058884077,23118.444826506697,3172.7472820618686,8426.098713157331
100.0,530.5260899633217,35284.235262431794,22900.186113442698,3257.280894255611,8423.005822944617
