"tick","Id","OtherId","Type","Trust"
1,12,25,C,0.0
1,16,21,C,0.0
1,18,23,C,0.0
1,20,13,C,0.0
1,22,19,C,0.0
1,24,17,C,0.0
1,13,20,S,0.0
1,17,24,S,0.0
1,19,22,S,0.0
1,21,16,S,0.0
1,23,18,S,0.0
1,25,12,S,0.0
2,12,25,C,0.0
2,16,21,C,0.0
2,18,23,C,0.0
2,20,13,C,0.0
2,22,19,C,0.0
2,24,17,C,0.0
2,13,20,S,0.0
2,17,24,S,0.0
2,19,22,S,0.0
2,21,16,S,0.0
2,23,18,S,0.0
2,25,12,S,0.0
3,12,25,C,0.0
3,16,21,C,0.0
3,18,23,C,0.0
3,20,13,C,0.0
3,22,19,C,0.0
3,24,17,C,0.0
3,13,20,S,0.0
3,17,24,S,0.0
3,19,22,S,0.0
3,21,16,S,0.0
3,23,18,S,0.0
3,25,12,S,0.0
4,12,25,C,0.0
4,16,21,C,0.0
4,18,23,C,0.0
4,20,13,C,0.0
4,22,19,C,0.0
4,24,17,C,0.0
4,13,20,S,0.0
4,17,24,S,0.0
4,19,22,S,0.0
4,21,16,S,0.0
4,23,18,S,0.0
4,25,12,S,0.0
5,10,24,C,0.0
5,11,22,C,0.0
5,14,20,C,0.0
5,15,18,C,0.0
5,12,25,C,0.2
5,16,21,C,0.2
5,18,15,S,0.0
5,18,23,C,0.2
5,20,14,S,0.0
5,20,13,C,0.2
5,22,11,S,0.0
5,22,19,C,0.2
5,24,10,S,0.0
5,24,17,C,0.2
5,13,20,S,0.0
5,17,24,S,0.0
5,19,22,S,0.0
5,21,16,S,0.0
5,23,18,S,0.0
5,25,12,S,0.0
6,10,24,C,0.0
6,11,22,C,0.0
6,14,20,C,0.0
6,15,18,C,0.0
6,12,25,C,0.3333333333333333
6,16,21,C,0.3333333333333333
6,18,15,S,0.0
6,18,23,C,0.3333333333333333
6,20,14,S,0.0
6,20,13,C,0.3333333333333333
6,22,11,S,0.0
6,22,19,C,0.3333333333333333
6,24,10,S,0.0
6,24,17,C,0.3333333333333333
6,13,20,S,0.0
6,17,24,S,0.0
6,19,22,S,0.0
6,21,16,S,0.0
6,23,18,S,0.0
6,25,12,S,0.0
7,10,24,C,0.0
7,11,22,C,0.0
7,14,20,C,0.0
7,15,18,C,0.0
7,12,25,C,0.42857142857142855
7,16,21,C,0.42857142857142855
7,18,15,S,0.0
7,18,23,C,0.42857142857142855
7,20,14,S,0.0
7,20,13,C,0.42857142857142855
7,22,11,S,0.0
7,22,19,C,0.42857142857142855
7,24,10,S,0.0
7,24,17,C,0.42857142857142855
7,13,20,S,1.0
7,17,24,S,1.0
7,19,22,S,1.0
7,21,16,S,0.0
7,23,18,S,0.0
7,25,12,S,1.0
8,10,24,C,0.0
8,11,22,C,0.0
8,14,20,C,0.0
8,15,18,C,0.0
8,12,25,C,0.5
8,16,21,C,0.5
8,18,15,S,0.0
8,18,23,C,0.5
8,20,14,S,0.0
8,20,13,C,0.5
8,22,11,S,0.0
8,22,19,C,0.5
8,24,10,S,0.0
8,24,17,C,0.5
8,13,20,S,0.4530218954834539
8,17,24,S,0.47597207628648364
8,19,22,S,0.4805465067760021
8,21,16,S,0.0
8,23,18,S,0.0
8,25,12,S,0.4533221315175801
9,6,10,C,0.0
9,7,15,C,0.0
9,8,14,C,0.0
9,9,11,C,0.0
9,10,6,S,0.0
9,10,24,C,0.1111111111111111
9,11,9,S,0.0
9,11,22,C,0.1111111111111111
9,14,8,S,0.0
9,14,20,C,0.1111111111111111
9,15,7,S,0.0
9,15,18,C,0.1111111111111111
9,12,25,C,0.5555555555555556
9,16,21,C,0.5555555555555556
9,18,15,S,0.0
9,18,23,C,0.5555555555555556
9,20,14,S,0.0
9,20,13,C,0.5555555555555556
9,22,11,S,0.0
9,22,19,C,0.5555555555555556
9,24,10,S,0.0
9,24,17,C,0.5555555555555556
9,13,20,S,0.2768682245052721
9,17,24,S,0.3032285430761211
9,19,22,S,0.3087521429247891
9,21,16,S,0.0
9,23,18,S,0.0
9,25,12,S,0.2771992213374811
10,6,10,C,0.0
10,7,15,C,0.0
10,8,14,C,0.0
10,9,11,C,0.0
10,10,6,S,0.0
10,10,24,C,0.2
10,11,9,S,0.0
10,11,22,C,0.2
10,14,8,S,0.0
10,14,20,C,0.2
10,15,7,S,0.0
10,15,18,C,0.2
10,12,25,C,0.6
10,16,21,C,0.6
10,18,15,S,0.0
10,18,23,C,0.6
10,20,14,S,0.0
10,20,13,C,0.6
10,22,11,S,0.0
10,22,19,C,0.6
10,24,10,S,0.0
10,24,17,C,0.6
10,13,20,S,0.1921808645876846
10,17,24,S,0.2180625004895661
10,19,22,S,0.22372396484650348
10,21,16,S,0.0
10,23,18,S,0.0
10,25,12,S,0.1924946846711951
11,6,10,C,0.0
11,7,15,C,0.0
11,8,14,C,0.0
11,9,11,C,0.0
11,10,6,S,0.0
11,10,24,C,0.2727272727272727
11,11,9,S,0.0
11,11,22,C,0.2727272727272727
11,14,8,S,0.0
11,14,20,C,0.2727272727272727
11,15,7,S,0.0
11,15,18,C,0.2727272727272727
11,12,25,C,0.6363636363636364
11,16,21,C,0.6363636363636364
11,18,15,S,0.5
11,18,17,C,0.0
11,18,23,C,0.6363636363636364
11,20,14,S,1.0
11,20,23,C,0.0
11,20,13,C,0.6363636363636364
11,22,11,S,1.0
11,22,19,C,0.6363636363636364
11,22,21,C,0.0
11,24,10,S,1.0
11,24,17,C,0.6363636363636364
11,24,13,C,0.0
11,13,20,S,0.14341327078984212
11,13,24,S,0.0
11,17,18,S,0.0
