"tick","IdSupplier","IdClient","LocationX","LocationY","Size"
4.0,20,13,44.6,31.7,1.0
4.0,12,25,44.6,35.1,1.0
4.0,22,19,44.6,27.3,1.0
4.0,24,17,44.6,8.399999999999999,1.0
5.0,20,13,47.6,35.45,1.0
5.0,12,25,47.6,25.85,1.0
5.0,22,19,47.6,31.55,1.0
5.0,24,17,47.6,6.899999999999999,1.0
6.0,20,13,50.6,39.2,1.0
6.0,12,25,50.6,16.6,1.0
6.0,22,19,50.6,35.8,1.0
6.0,24,17,50.6,5.399999999999999,1.0
8.0,15,18,32.599999999999994,11.399999999999999,5.0
8.0,14,20,32.6,11.8,5.0
8.0,11,22,32.6,36.900000000000006,5.0
8.0,10,24,32.599999999999994,34.0,5.0
9.0,10,24,32.599999999999994,34.0,5.143999532492307
9.0,15,18,35.599999999999994,19.9,5.0
9.0,14,20,35.6,17.3,5.0
9.0,11,22,35.6,31.650000000000006,5.0
9.0,10,24,35.599999999999994,25.5,5.0
10.0,10,24,35.599999999999994,25.5,5.143999532492307
10.0,15,18,38.599999999999994,28.4,5.0
10.0,14,20,38.6,22.8,5.0
10.0,11,22,38.6,26.400000000000006,5.0
10.0,10,24,38.599999999999994,17.0,5.0
11.0,10,24,38.599999999999994,17.0,5.143999532492307
11.0,22,19,44.6,27.3,1.488476622647353
11.0,18,23,44.6,31.6,2.319871738588247
11.0,20,13,44.6,31.7,2.2512898095336595
11.0,24,17,44.6,8.399999999999999,1.6091389640521474
12.0,24,17,44.6,8.399999999999999,1.6796456013648138
12.0,9,11,20.599999999999998,31.3,25.0
12.0,20,13,44.6,31.7,2.3961241445217465
12.0,22,19,47.6,31.55,1.488476622647353
12.0,7,15,20.599999999999998,30.6,25.0
12.0,18,23,44.6,31.6,2.47264429700878
12.0,22,19,44.6,27.3,1.5450168312060106
12.0,18,23,47.6,28.6,2.319871738588247
12.0,6,10,20.599999999999998,23.200000000000003,25.0
12.0,20,13,47.6,35.45,2.2512898095336595
12.0,24,17,47.6,6.899999999999999,1.6091389640521474
13.0,24,17,47.6,6.899999999999999,1.6796456013648138
13.0,24,17,44.6,8.399999999999999,1.7466269068118467
13.0,18,23,47.6,28.6,2.47264429700878
13.0,6,10,23.599999999999998,30.700000000000003,25.0
13.0,20,13,50.6,39.2,2.2512898095336595
13.0,9,11,23.599999999999998,35.55,25.0
13.0,20,13,47.6,35.45,2.3961241445217465
13.0,22,19,44.6,27.3,1.5987300293367355
13.0,22,19,50.6,35.8,1.488476622647353
13.0,7,15,23.599999999999998,20.1,25.0
13.0,22,19,47.6,31.55,1.5450168312060106
13.0,18,23,50.6,25.6,2.319871738588247
13.0,24,17,50.6,5.399999999999999,1.6091389640521474
14.0,24,17,50.6,5.399999999999999,1.6796456013648138
14.0,24,17,47.6,6.899999999999999,1.7466269068118467
14.0,18,23,50.6,25.6,2.47264429700878
14.0,6,10,26.599999999999998,38.2,25.0
14.0,9,11,26.599999999999998,39.8,25.0
14.0,20,13,50.6,39.2,2.3961241445217465
14.0,22,19,47.6,31.55,1.5987300293367355
14.0,7,15,26.599999999999998,9.600000000000001,25.0
14.0,22,19,50.6,35.8,1.5450168312060106
14.0,24,17,44.6,8.399999999999999,1.8102591469865281
15.0,24,17,44.6,8.399999999999999,1.8707097751524755
15.0,24,17,50.6,5.399999999999999,1.7466269068118467
15.0,15,18,32.599999999999994,11.399999999999999,6.029920283485074
15.0,22,19,50.6,35.8,1.5987300293367355
