"run","pLimitedSuppliersClients","pInterventionType","pDesperation","pSettingLoadPopulationFile","pInterventionRiskIncreaseOther","pSendShipmentProbability","pEnableSupplierOnPriceSelection","pInterventionGlobalPercentage","pDesperationOnOrder","pConMax","randomSeed","pRealisticMap","pSettingInitializeTime","pProdMax","pRunLength","pProducerNumberCap","pInterventionWholesalerNLPercentage","pConMin","pEnablePersonalRisk"
1,"true","single","true","false",0.5,1.0,"true",10,"true",1.0,-1196576501,"false",100,10.0,1000,8,0,0.2,"true"
3,"true","single","true","false",0.5,1.0,"true",10,"true",1.0,-1196562213,"false",100,10.0,1000,8,50,0.2,"true"
5,"true","single","true","false",0.5,1.0,"true",10,"true",1.0,-1196559414,"false",100,10.0,1000,8,25,0.2,"true"
7,"true","single","true","false",0.5,1.0,"true",10,"true",1.0,-1196554704,"false",100,10.0,1000,8,0,0.2,"true"
9,"true","single","true","false",0.5,1.0,"true",10,"true",1.0,-1196551096,"false",100,10.0,1000,8,50,0.2,"true"
11,"true","single","true","false",0.5,1.0,"true",10,"true",1.0,-1196547672,"false",100,10.0,1000,8,25,0.2,"true"
13,"true","single","true","false",0.5,1.0,"true",10,"true",1.0,-1196543642,"false",100,10.0,1000,8,0,0.2,"true"
15,"true","single","true","false",0.5,1.0,"true",10,"true",1.0,-1196538083,"false",100,10.0,1000,8,50,0.2,"true"
17,"true","single","true","false",0.5,1.0,"true",10,"true",1.0,-1196534930,"false",100,10.0,1000,8,25,0.2,"true"
19,"true","single","true","false",0.5,1.0,"true",10,"true",1.0,-1196530466,"false",100,10.0,1000,8,0,0.2,"true"
21,"true","single","true","false",0.5,1.0,"true",10,"true",1.0,-1196527075,"false",100,10.0,1000,8,50,0.2,"true"
23,"true","single","true","false",0.5,1.0,"true",10,"true",1.0,-1196524972,"false",100,10.0,1000,8,25,0.2,"true"
25,"true","single","true","false",0.5,1.0,"true",10,"true",1.0,-1196520966,"false",100,10.0,1000,8,0,0.2,"true"
27,"true","single","true","false",0.5,1.0,"true",10,"true",1.0,-1196518745,"false",100,10.0,1000,8,50,0.2,"true"
29,"true","single","true","false",0.5,1.0,"true",10,"true",1.0,-1196516599,"false",100,10.0,1000,8,25,0.2,"true"
31,"true","single","true","false",0.5,1.0,"true",10,"true",1.0,-1196512549,"false",100,10.0,1000,8,0,0.2,"true"
33,"true","single","true","false",0.5,1.0,"true",10,"true",1.0,-1196508839,"false",100,10.0,1000,8,50,0.2,"true"
35,"true","single","true","false",0.5,1.0,"true",10,"true",1.0,-1196506365,"false",100,10.0,1000,8,25,0.2,"true"
37,"true","single","true","false",0.5,1.0,"true",10,"true",1.0,-1196502925,"false",100,10.0,1000,8,0,0.2,"true"
39,"true","single","true","false",0.5,1.0,"true",10,"true",1.0,-1196499504,"false",100,10.0,1000,8,50,0.2,"true"
41,"true","single","true","false",0.5,1.0,"true",10,"true",1.0,-1196496311,"false",100,10.0,1000,8,25,0.2,"true"
43,"true","single","true","false",0.5,1.0,"true",10,"true",1.0,-1196490245,"false",100,10.0,1000,8,0,0.2,"true"
45,"true","single","true","false",0.5,1.0,"true",10,"true",1.0,-1196488075,"false",100,10.0,1000,8,50,0.2,"true"
47,"true","single","true","false",0.5,1.0,"true",10,"true",1.0,-1196484711,"false",100,10.0,1000,8,25,0.2,"true"
49,"true","single","true","false",0.5,1.0,"true",10,"true",1.0,-1196480415,"false",100,10.0,1000,8,0,0.2,"true"
51,"true","single","true","false",0.5,1.0,"true",10,"true",1.0,-1196477143,"false",100,10.0,1000,8,50,0.2,"true"
53,"true","single","true","false",0.5,1.0,"true",10,"true",1.0,-1196472839,"false",100,10.0,1000,8,25,0.2,"true"
55,"true","single","true","false",0.5,1.0,"true",10,"true",1.0,-1196470275,"false",100,10.0,1000,8,0,0.2,"true"
