"run","tick","random_seed","Produced","Deleted","Consumed","Cut Source","Cut Produced","Consumed Low","Consumed High","Quality ES High","Quality ES Low","Quality NL High","Quality NL Low"
1,1000.0,-1878140415,11620.207599348883,5842.948878586352,5122.653968186871,453.5607875748328,680.3411813622494,4806.7289547764485,315.925013410422,821.2171490081158,2528.6992424188616,578.693848132327,3969.8306205341737
3,1000.0,-1878130282,11521.487759695041,6236.475229890729,4545.984058345635,550.5738998338054,825.8608497507084,4125.387383512295,420.5966748333405,553.9549183406875,2409.9633497544314,1058.4236656965568,2862.5588730116197
5,1000.0,-1878125947,6947.078045619928,4229.270288367625,2842.991374143777,425.82965239940563,638.7444785991087,2799.4511617677913,43.540212375986044,342.99731762525937,962.510964949681,403.0995427920597,2526.9156501962157
7,1000.0,-1878123753,22286.260810264936,13160.519302554532,8530.68849509136,1473.5187482332856,2210.278122349927,8231.32405202501,299.364443066351,1788.6888322114935,6176.065028514363,1267.0864188998635,3814.235060983809
9,1000.0,-1878117184,21951.02167071164,15340.378003150166,5652.0467785726105,1193.434280285879,1790.151420428819,4982.459437539936,669.5873410326749,1515.1389863498305,3650.1113148330965,1309.4143510053418,1861.8732919255938
11,1000.0,-1878113229,18421.794470228957,9357.413325791278,7482.654294509534,1434.0483018064654,2151.0724527096972,6807.486618260388,675.1676762491461,920.1362120416748,2831.5881397974053,2876.233682938527,5558.769491711396
13,1000.0,-1878108207,10184.02473507514,5539.4224293053085,4181.580960514956,541.8659035113436,812.7988552670158,3519.4139811753007,662.1669793396557,609.1636962737545,1473.7931162289444,1232.7010665640203,2848.898387561839
15,1000.0,-1878105665,17290.109966194326,10223.909555476564,6542.2451792571055,1008.943675330328,1513.4155129954925,5747.746067349241,794.4991119078653,833.0737178541714,2287.744642058341,1979.8280076162794,5115.430243846892
17,1000.0,-1878101365,16360.085220963889,9270.331464934443,6286.924454370897,1905.2253249158937,2857.8379873738427,5150.049101419909,1136.8753529509888,3421.0434134808384,3968.0016757992753,1007.580973234442,1171.1318043876872
19,1000.0,-1878097520,12932.136604093172,8778.662958425502,3969.134272126396,548.0947306091933,822.1420959137905,3690.9369716690985,278.19730045729756,960.4722495228517,3484.0787728419186,664.0611603179863,1209.470736886943
21,1000.0,-1878094884,12987.549951660058,6095.376974965114,6029.5446669151925,788.4130202888813,1182.6195304333226,5648.733279726721,380.81138718847177,1388.2432845689812,5261.96273980714,524.3858302284751,1776.2859519374974
