"tick","run","random_seed","Intervened Global %","Intervened Global Count","Intervened NL Count","Intervened NL %","Intervened NL Size","Shipment NL Max Size","Shipment ES Max Size"
1000.0,1,-1878140415,8.456501403180543,452.0,0.0,NaN,0.0,0.0,0.0
1000.0,3,-1878130282,8.692984250357947,425.0,10.0,Infinity,414.905101395366,0.0,0.0
1000.0,5,-1878125947,8.091068301225919,231.0,11.0,Infinity,324.13621062139174,0.0,0.0
1000.0,7,-1878123753,9.648784253184099,750.0,61.0,Infinity,3330.0212589532016,0.0,0.0
1000.0,9,-1878117184,10.466623460790668,646.0,95.0,Infinity,6818.869218355527,0.0,0.0
1000.0,11,-1878113229,9.475806451612904,611.0,0.0,NaN,0.0,0.0,0.0
1000.0,13,-1878108207,8.466981132075471,359.0,8.0,Infinity,231.14140526540956,0.0,0.0
1000.0,15,-1878105665,10.299567634342187,667.0,47.0,Infinity,1995.672578382922,0.0,0.0
1000.0,17,-1878101365,9.660754262097468,561.0,36.0,Infinity,1761.0643254079357,0.0,0.0
1000.0,19,-1878097520,9.341289878356667,407.0,43.0,Infinity,3201.7169169995373,0.0,0.0
1000.0,21,-1878094884,8.910552420044466,521.0,0.0,NaN,0.0,0.0,0.0
1000.0,23,-1878091265,9.153749476330121,437.0,10.0,Infinity,340.7387752539123,0.0,0.0
1000.0,25,-1878087958,9.145942408376962,559.0,30.0,Infinity,1307.8262857615675,0.0,0.0
1000.0,27,-1878083343,10.774351786965662,615.0,91.0,Infinity,5134.608948242255,0.0,0.0
1000.0,29,-1878079774,10.04907688712316,430.0,92.0,Infinity,6410.893453516741,0.0,0.0
1000.0,31,-1878076735,7.480314960629922,114.0,0.0,NaN,0.0,0.0,0.0
1000.0,33,-1878075492,9.285165257494235,604.0,14.0,Infinity,506.85164429794804,0.0,0.0
1000.0,35,-1878070711,9.570342795098496,617.0,16.0,Infinity,559.245984326653,0.0,0.0
1000.0,37,-1878066578,10.962602943161874,812.0,121.0,Infinity,7315.781448863532,25.559160353295283,0.0
1000.0,39,-1878061151,9.250585480093678,711.0,82.0,Infinity,7635.430020981592,0.0,60.69571021948265
1000.0,41,-1878056255,9.321175278622087,368.0,0.0,NaN,0.0,0.0,0.0
1000.0,43,-1878052020,9.460887949260043,537.0,11.0,Infinity,457.11464212523,0.0,0.0
1000.0,45,-1878048128,9.377226735071968,658.0,56.0,Infinity,2126.204190612687,50.315345230748065,0.0
1000.0,47,-1878043598,9.690721649484537,658.0,78.0,Infinity,3297.066255553081,61.61810531032398,0.0
1000.0,49,-1878038125,11.704047434905904,454.0,116.0,Infinity,6476.215930753828,0.0,0.0
1000.0,51,-1878035792,8.586504637032299,537.0,0.0,NaN,0.0,27.660201517444776,0.0
1000.0,53,-1878031516,8.99696048632219,444.0,21.0,Infinity,663.825448796343,0.0,0.0
1000.0,55,-1878028376,9.726237034517938,572.0,38.0,Infinity,1644.5891856332264,0.0,26.324641404314292
1000.0,57,-1878024583,10.031762837480148,758.0,93.0,Infinity,5074.812888600963,0.0,0.0
1000.0,59,-1878017614,11.184713375796179,439.0,72.0,Infinity,8370.208204608445,0.0,0.0
1000.0,61,-1878015334,8.766114180478821,476.0,0.0,NaN,0.0,0.0,0.0
1000.0,63,-1878012115,8.060510273199368,357.0,6.0,Infinity,262.89498569992514,0.0,0.0
1000.0,65,-1878009618,9.191329720716965,441.0,20.0,Infinity,722.1335150244291,0.0,0.0
1000.0,67,-1878006637,9.806515627583925,593.0,54.0,Infinity,2516.857620586799,0.0,0.0
1000.0,69,-1878002902,10.678191489361701,803.0,116.0,Infinity,9511.75040582593,0.0,0.0
1000.0,71,-1877997554,9.103840682788052,448.0,0.0,NaN,0.0,0.0,0.0
1000.0,73,-1877994175,8.703414416424906,390.0,1.0,Infinity,33.24490621002546,0.0,0.0
1000.0,75,-1877991525,9.287709497206704,399.0,10.0,Infinity,288.2483868398214,0.0,0.0
1000.0,77,-1877988991,10.540057716091795,767.0,68.0,Infinity,4822.74888555915,0.0,0.0
1000.0,79,-1877983184,9.861838970938543,414.0,72.0,Infinity,6515.519582417011,0.0,0.0
1000.0,81,-1877980998,9.42524115755627,469.0,0.0,NaN,0.0,0.0,0.0
1000.0,83,-1877977690,9.657629131209184,488.0,5.0,Infinity,153.86148220804512,0.0,0.0
1000.0,85,-1877974758,7.878343715646757,215.0,6.0,Infinity,318.70816883832856,0.0,0.0
1000.0,87,-1877973024,10.478260869565217,482.0,71.0,Infinity,3671.096178162918,0.0,0.0
1000.0,89,-1877970041,10.690978886756238,557.0,109.0,Infinity,7962.513003736701,0.0,0.0
1000.0,91,-1877967085,8.851674641148326,481.0,0.0,NaN,0.0,25.0,0.0
1000.0,93,-1877961547,8.75711084295811,508.0,11.0,Infinity,352.13299762674563,0.0,0.0
1000.0,95,-1877957956,9.734513274336283,561.0,32.0,Infinity,1173.2974142964192,27.297978361195412,0.0
1000.0,97,-1877953411,9.609261939218523,332.0,47.0,Infinity,3188.1981530657426,0.0,0.0
1000.0,99,-1877950543,10.727969348659004,420.0,72.0,Infinity,4974.649763994658,0.0,0.0
1000.0,101,-1877948462,8.989310009718173,370.0,0.0,NaN,0.0,0.0,0.0
1000.0,103,-1877946022,8.923375363724539,460.0,7.0,Infinity,381.9811606683262,0.0,0.0
1000.0,105,-1877942630,9.532246633593196,538.0,29.0,Infinity,1091.9000846121835,0.0,0.0
1000.0,107,-1877938667,9.934949733885274,672.0,57.0,Infinity,3621.980984910737,0.0,0.0
1000.0,109,-1877934830,12.41646148434752,353.0,79.0,Infinity,5362.501969989623,0.0,0.0
1000.0,111,-1877933299,9.738443822997203,592.0,0.0,NaN,0.0,0.0,0.0
1000.0,113,-1877929528,9.828273535725238,641.0,8.0,Infinity,264.37674832700606,0.0,0.0
1000.0,115,-1877925049,9.338602329450914,449.0,19.0,Infinity,668.858165258472,25.0,0.0
1000.0,117,-1877922306,10.875779625779627,837.0,117.0,Infinity,7179.682855489818,0.0,0.0
1000.0,119,-1877916483,11.163179916317992,667.0,99.0,Infinity,8136.21156768226,0.0,0.0
1000.0,121,-1877912841,8.636456004877058,425.0,0.0,NaN,0.0,0.0,0.0
1000.0,123,-1877910623,9.076949326053574,532.0,13.0,Infinity,788.4932114532363,0.0,0.0
1000.0,125,-1877906789,8.399523431294678,423.0,5.0,Infinity,129.73061403256543,0.0,0.0
1000.0,127,-1877903401,10.85229567793187,806.0,116.0,Infinity,6034.14382272246,0.0,26.172775855949517
1000.0,129,-1877897866,11.82883176049463,727.0,122.0,Infinity,7061.9822870955,0.0,0.0
1000.0,131,-1877894036,9.165009940357853,461.0,0.0,NaN,0.0,0.0,0.0
1000.0,133,-1877890904,8.876629889669008,354.0,16.0,Infinity,465.67991147226945,0.0,0.0
1000.0,135,-1877888090,9.565598946906539,436.0,14.0,Infinity,517.449667310112,0.0,0.0
1000.0,137,-1877885113,10.040767024007248,665.0,63.0,Infinity,2914.0078268854645,0.0,25.620796660145444
1000.0,139,-1877880268,11.514504360206443,647.0,133.0,Infinity,9898.339592589398,0.0,0.0
1000.0,141,-1877876182,8.851499634235552,484.0,0.0,NaN,0.0,0.0,0.0
1000.0,143,-1877872829,8.992871504295376,492.0,12.0,Infinity,335.9909645501205,0.0,0.0
1000.0,145,-1877868778,8.916816277678038,447.0,31.0,Infinity,1330.9376936320186,0.0,0.0
1000.0,147,-1877865316,10.781671159029651,480.0,61.0,Infinity,3681.5537518017372,0.0,0.0
1000.0,149,-1877862477,10.15843429636533,654.0,114.0,Infinity,6351.751739805286,0.0,0.0
1000.0,151,-1877858343,9.022845075830293,470.0,0.0,NaN,0.0,0.0,0.0
1000.0,153,-1877855336,9.126834776063228,485.0,18.0,Infinity,705.0072640076755,0.0,0.0
1000.0,155,-1877851780,8.836152486745771,700.0,25.0,Infinity,890.6695187604445,25.0,0.0
1000.0,157,-1877846046,9.739542225730071,617.0,52.0,Infinity,2840.8119226812814,0.0,0.0
1000.0,159,-1877841990,11.375020197123929,704.0,144.0,Infinity,13455.2416181958,0.0,0.0
1000.0,161,-1877838220,9.090909090909092,297.0,0.0,NaN,0.0,0.0,137.84415129712912
1000.0,163,-1877836211,9.017132551848512,500.0,11.0,Infinity,465.14213553632317,0.0,0.0
1000.0,165,-1877832652,9.377203290246769,399.0,14.0,Infinity,440.8343227326615,0.0,0.0
1000.0,167,-1877829573,10.245765526403188,617.0,76.0,Infinity,2747.1836338133794,0.0,0.0
1000.0,169,-1877825070,10.90194455937112,527.0,81.0,Infinity,7766.707060963475,0.0,0.0
1000.0,171,-1877822221,8.601700822528928,617.0,0.0,NaN,0.0,0.0,0.0
1000.0,173,-1877817296,9.416581371545547,368.0,0.0,NaN,0.0,0.0,0.0
1000.0,175,-1877814832,9.313643228729653,555.0,38.0,Infinity,1599.851986266485,0.0,0.0
1000.0,177,-1877811285,9.571195947168446,529.0,62.0,Infinity,3178.3918810048253,0.0,0.0
1000.0,179,-1877808185,11.35483870967742,792.0,166.0,Infinity,10182.46527337658,0.0,0.0
1000.0,181,-1877803208,9.05343269383225,571.0,0.0,NaN,0.0,0.0,123.69747657155403
1000.0,183,-1877799275,10.221510541766747,383.0,21.0,Infinity,612.0912686399826,0.0,0.0
1000.0,185,-1877796823,9.102494083378845,500.0,39.0,Infinity,2367.459555783414,0.0,0.0
1000.0,187,-1877793614,9.355416293643689,627.0,63.0,Infinity,3225.5293581365245,0.0,0.0
1000.0,189,-1877789214,10.396475770925111,590.0,87.0,Infinity,6453.3284515659825,0.0,0.0
1000.0,191,-1877785734,8.533333333333333,384.0,0.0,NaN,0.0,0.0,0.0
1000.0,193,-1877782953,9.5968534906588,488.0,12.0,Infinity,336.7518360178758,0.0,0.0
1000.0,195,-1877779478,9.49266395616051,537.0,22.0,Infinity,794.819669358509,25.235580990365317,0.0
1000.0,197,-1877776410,10.937812437512498,547.0,97.0,Infinity,4969.79459247214,0.0,0.0
1000.0,199,-1877773019,9.57004160887656,414.0,45.0,Infinity,3984.206966382304,0.0,0.0
1000.0,201,-1877771015,9.615384615384617,235.0,0.0,NaN,0.0,0.0,0.0
1000.0,203,-1877769526,9.838709677419356,671.0,17.0,Infinity,805.9764994707883,0.0,0.0
1000.0,205,-1877764881,9.687083888149134,291.0,16.0,Infinity,565.2854615490162,67.97116339184348,0.0
1000.0,207,-1877762950,10.372340425531915,585.0,89.0,Infinity,4722.498550557007,0.0,0.0
1000.0,209,-1877759475,11.427686590275627,369.0,73.0,Infinity,4424.088010960994,0.0,0.0
1000.0,211,-1877757119,9.559960635456207,680.0,0.0,NaN,0.0,0.0,0.0
1000.0,213,-1877751735,9.558067831449128,465.0,13.0,Infinity,372.1470775866387,26.03579382091644,0.0
1000.0,215,-1877748426,9.134720700985762,417.0,15.0,Infinity,556.9092644358765,0.0,0.0
1000.0,217,-1877745413,10.891740704179007,331.0,42.0,Infinity,1714.9805076145626,0.0,0.0
1000.0,219,-1877743060,10.904905768954107,758.0,117.0,Infinity,12214.382782908096,0.0,0.0
1000.0,221,-1877737823,9.121967885206695,534.0,0.0,NaN,0.0,0.0,0.0
1000.0,223,-1877733959,9.503003823047514,348.0,8.0,Infinity,323.59189309287996,0.0,0.0
1000.0,225,-1877731595,9.161231609282572,604.0,26.0,Infinity,1189.6428943997478,0.0,0.0
1000.0,227,-1877726441,9.457118105688709,655.0,72.0,Infinity,3919.829244707465,0.0,0.0
1000.0,229,-1877721999,9.9323291857673,455.0,93.0,Infinity,6195.482492158669,0.0,0.0
1000.0,231,-1877719529,9.165446559297218,626.0,0.0,NaN,0.0,0.0,0.0
1000.0,233,-1877713945,9.718216108276016,438.0,16.0,Infinity,502.9440681089397,25.9974989661333,0.0
1000.0,235,-1877710865,9.247229652273596,484.0,27.0,Infinity,1242.4017565601637,29.184161411863503,0.0
1000.0,237,-1877707231,9.937264742785445,396.0,71.0,Infinity,4465.03253947764,0.0,0.0
1000.0,239,-1877704443,10.662299854439592,586.0,97.0,Infinity,4945.847714524734,0.0,0.0
1000.0,241,-1877701034,9.415498545358371,356.0,0.0,NaN,0.0,0.0,0.0
1000.0,243,-1877697396,8.741633199464523,653.0,24.0,Infinity,767.8059334606426,0.0,0.0
1000.0,245,-1877691033,9.155501421031262,451.0,28.0,Infinity,1055.234557016219,0.0,0.0
1000.0,247,-1877688349,9.528924351695565,621.0,32.0,Infinity,1286.6265628911299,0.0,0.0
1000.0,249,-1877683844,11.224489795918368,286.0,75.0,Infinity,4867.612054917603,0.0,0.0
1000.0,251,-1877682404,10.035622159439871,817.0,0.0,NaN,0.0,0.0,0.0
1000.0,253,-1877676250,8.631123919308358,599.0,18.0,Infinity,637.5736634014685,0.0,0.0
1000.0,255,-1877671917,9.580838323353294,432.0,28.0,Infinity,1006.0920332191873,0.0,0.0
1000.0,257,-1877669307,11.184079601990051,562.0,63.0,Infinity,3516.328652163425,0.0,0.0
1000.0,259,-1877665801,10.108413498244007,662.0,95.0,Infinity,5473.219017829024,0.0,0.0
1000.0,261,-1877661418,7.532605802501996,283.0,0.0,NaN,0.0,0.0,25.0
1000.0,263,-1877659295,8.885787392416841,382.0,9.0,Infinity,234.49083999152617,0.0,25.48759726799117
1000.0,265,-1877656359,9.479371316306482,386.0,17.0,Infinity,678.6827579406319,34.443173948931396,0.0
1000.0,267,-1877654258,10.614364003461207,368.0,57.0,Infinity,3342.2715996408037,0.0,0.0
1000.0,269,-1877651893,11.129296235679215,408.0,100.0,Infinity,6955.694298033955,0.0,0.0
