"run","pLimitedSuppliersClients","pInterventionType","pDesperation","pSettingLoadPopulationFile","pSendShipmentProbability","pEnableSupplierOnPriceSelection","pInterventionGlobalPercentage","pDesperationOnOrder","pConMax","randomSeed","pRealisticMap","pSettingInitializeTime","pProdMax","pRunLength","pProducerNumberCap","pInterventionWholesalerNLPercentage","pConMin","pEnablePersonalRisk"
1,"true","single","true","false",1.0,"true",10,"true",1.0,-1878140415,"false",100,10.0,1000,8,0,0.2,"true"
3,"true","single","true","false",1.0,"true",10,"true",1.0,-1878130282,"false",100,10.0,1000,8,10,0.2,"true"
5,"true","single","true","false",1.0,"true",10,"true",1.0,-1878125947,"false",100,10.0,1000,8,20,0.2,"true"
7,"true","single","true","false",1.0,"true",10,"true",1.0,-1878123753,"false",100,10.0,1000,8,60,0.2,"true"
9,"true","single","true","false",1.0,"true",10,"true",1.0,-1878117184,"false",100,10.0,1000,8,100,0.2,"true"
11,"true","single","true","false",1.0,"true",10,"true",1.0,-1878113229,"false",100,10.0,1000,8,0,0.2,"true"
13,"true","single","true","false",1.0,"true",10,"true",1.0,-1878108207,"false",100,10.0,1000,8,10,0.2,"true"
15,"true","single","true","false",1.0,"true",10,"true",1.0,-1878105665,"false",100,10.0,1000,8,20,0.2,"true"
17,"true","single","true","false",1.0,"true",10,"true",1.0,-1878101365,"false",100,10.0,1000,8,60,0.2,"true"
19,"true","single","true","false",1.0,"true",10,"true",1.0,-1878097520,"false",100,10.0,1000,8,100,0.2,"true"
21,"true","single","true","false",1.0,"true",10,"true",1.0,-1878094884,"false",100,10.0,1000,8,0,0.2,"true"
23,"true","single","true","false",1.0,"true",10,"true",1.0,-1878091265,"false",100,10.0,1000,8,10,0.2,"true"
25,"true","single","true","false",1.0,"true",10,"true",1.0,-1878087958,"false",100,10.0,1000,8,20,0.2,"true"
27,"true","single","true","false",1.0,"true",10,"true",1.0,-1878083343,"false",100,10.0,1000,8,60,0.2,"true"
29,"true","single","true","false",1.0,"true",10,"true",1.0,-1878079774,"false",100,10.0,1000,8,100,0.2,"true"
