Tick,Id,OtherId,Type,Trust
1,12,25,C,0.0
1,16,21,C,0.0
1,18,23,C,0.0
1,20,13,C,0.0
1,22,19,C,0.0
1,24,17,C,0.0
1,13,20,S,0.0
1,17,24,S,0.0
1,19,22,S,0.0
1,21,16,S,0.0
1,23,18,S,0.0
1,25,12,S,0.0
2,12,25,C,0.0
2,16,21,C,0.0
2,18,23,C,0.0
2,20,13,C,0.0
2,22,19,C,0.0
2,24,17,C,0.0
2,13,20,S,0.0
2,17,24,S,0.0
2,19,22,S,0.0
2,21,16,S,0.0
2,23,18,S,0.0
2,25,12,S,0.0
3,12,25,C,0.0
3,16,21,C,0.0
3,18,23,C,0.0
3,20,13,C,0.0
3,22,19,C,0.0
3,24,17,C,0.0
3,13,20,S,0.0
3,17,24,S,0.0
3,19,22,S,0.0
3,21,16,S,0.0
3,23,18,S,0.0
3,25,12,S,0.0
4,12,25,C,0.0
4,16,21,C,0.0
4,18,23,C,0.0
4,20,13,C,0.0
4,22,19,C,0.0
4,24,17,C,0.0
4,13,20,S,0.0
4,17,24,S,0.0
4,19,22,S,0.0
4,21,16,S,0.0
4,23,18,S,0.0
4,25,12,S,0.0
5,10,24,C,0.0
5,11,22,C,0.0
5,14,20,C,0.0
5,15,18,C,0.0
5,12,25,C,0.2
5,16,21,C,0.2
5,18,15,S,0.0
5,18,23,C,0.2
5,20,14,S,0.0
5,20,13,C,0.2
5,22,11,S,0.0
5,22,19,C,0.2
5,24,10,S,0.0
5,24,17,C,0.2
5,13,20,S,0.0
5,17,24,S,0.0
5,19,22,S,0.0
5,21,16,S,0.0
5,23,18,S,0.0
5,25,12,S,0.0
