"tick","IdSupplier","IdClient","LocationX","LocationY","Size","LargestQuality","Connected"
4.0,22,19,44.6,22.6,1.0,40.0,"false"
4.0,24,17,44.6,8.1,1.0,40.0,"false"
4.0,20,13,44.6,34.8,1.0,60.0,"false"
4.0,12,25,44.6,34.7,1.0,40.0,"false"
5.0,22,19,47.6,27.1,1.0,40.0,"true"
5.0,24,17,47.6,6.35,1.0,40.0,"true"
5.0,20,13,47.6,37.8,1.0,60.0,"true"
5.0,12,25,47.6,25.950000000000003,1.0,40.0,"false"
6.0,22,19,50.6,31.6,1.0,40.0,"true"
6.0,24,17,50.6,4.6,1.0,40.0,"true"
6.0,20,13,50.6,40.8,1.0,60.0,"true"
6.0,12,25,50.6,17.200000000000003,1.0,40.0,"false"
8.0,14,20,32.6,13.7,5.0,60.0,"false"
8.0,10,24,32.6,36.1,5.0,40.0,"false"
8.0,15,18,32.6,13.3,5.0,40.0,"false"
8.0,11,22,32.6,35.400000000000006,5.0,40.0,"false"
9.0,14,20,35.6,19.95,5.0,60.0,"true"
9.0,10,24,35.6,26.85,5.0,40.0,"true"
9.0,15,18,35.6,22.55,5.0,40.0,"true"
9.0,10,24,32.6,36.1,5.143999532492307,40.0,"true"
9.0,11,22,35.6,28.900000000000006,5.0,40.0,"true"
10.0,14,20,38.6,26.2,5.0,60.0,"true"
10.0,10,24,38.6,17.6,5.0,40.0,"true"
10.0,15,18,38.6,31.8,5.0,40.0,"true"
10.0,10,24,35.6,26.85,5.143999532492307,40.0,"true"
10.0,11,22,38.6,22.400000000000006,5.0,40.0,"true"
11.0,20,13,44.6,34.8,2.2512898095336595,60.0,"true"
11.0,22,19,44.6,22.6,1.488476622647353,40.0,"true"
11.0,24,17,44.6,8.1,1.6091389640521474,40.0,"true"
11.0,10,24,38.6,17.6,5.143999532492307,40.0,"true"
11.0,18,23,44.6,32.6,2.319871738588247,40.0,"true"
12.0,20,13,47.6,37.8,2.2512898095336595,60.0,"true"
12.0,22,19,47.6,27.1,1.488476622647353,40.0,"true"
12.0,18,23,44.6,32.6,2.47264429700878,40.0,"true"
12.0,24,17,47.6,6.35,1.6091389640521474,40.0,"true"
12.0,8,11,20.6,18.7,25.0,40.0,"false"
12.0,22,19,44.6,22.6,1.5450168312060106,40.0,"true"
12.0,6,10,20.6,36.0,25.0,40.0,"false"
12.0,7,15,20.6,11.3,25.0,40.0,"false"
12.0,24,17,44.6,8.1,1.6796456013648138,40.0,"true"
12.0,18,23,47.6,27.1,2.319871738588247,40.0,"true"
12.0,20,13,44.6,34.8,2.3961241445217465,60.0,"true"
13.0,22,19,50.6,31.6,1.488476622647353,40.0,"true"
13.0,24,17,50.6,4.6,1.6091389640521474,40.0,"true"
13.0,8,11,23.6,27.45,25.0,40.0,"true"
13.0,22,19,47.6,27.1,1.5450168312060106,40.0,"true"
13.0,6,10,23.6,40.0,25.0,40.0,"true"
13.0,24,17,47.6,6.35,1.6796456013648138,40.0,"true"
13.0,18,23,50.6,21.6,2.319871738588247,40.0,"true"
13.0,20,13,47.6,37.8,2.3961241445217465,60.0,"true"
13.0,20,13,50.6,40.8,2.2512898095336595,60.0,"true"
13.0,18,23,47.6,27.1,2.47264429700878,40.0,"true"
13.0,24,17,44.6,8.1,1.7466269068118467,40.0,"true"
13.0,7,15,23.6,8.05,25.0,40.0,"true"
13.0,22,19,44.6,22.6,1.5987300293367355,40.0,"true"
14.0,8,11,26.6,36.2,25.0,40.0,"true"
14.0,22,19,50.6,31.6,1.5450168312060106,40.0,"true"
14.0,6,10,26.6,44.0,25.0,40.0,"true"
14.0,24,17,50.6,4.6,1.6796456013648138,40.0,"true"
14.0,20,13,50.6,40.8,2.3961241445217465,60.0,"true"
14.0,18,23,50.6,21.6,2.47264429700878,40.0,"true"
14.0,24,17,47.6,6.35,1.7466269068118467,40.0,"true"
14.0,7,15,26.6,4.800000000000001,25.0,40.0,"true"
14.0,22,19,47.6,27.1,1.5987300293367355,40.0,"true"
14.0,24,17,44.6,8.1,1.8102591469865281,40.0,"true"
15.0,11,22,32.6,35.400000000000006,5.0,40.0,"true"
15.0,24,17,44.6,8.1,1.8707097751524755,40.0,"true"
15.0,15,18,32.6,13.3,6.029920283485074,40.0,"true"
15.0,24,17,50.6,4.6,1.7466269068118467,40.0,"true"
15.0,22,19,50.6,31.6,1.5987300293367355,40.0,"true"
15.0,24,17,47.6,6.35,1.8102591469865281,40.0,"true"
16.0,3,3,2.2,16.2,0.25,60.0,"true"
16.0,11,22,35.6,28.900000000000006,5.0,40.0,"true"
16.0,24,17,47.6,6.35,1.8707097751524755,40.0,"true"
16.0,2,2,2.2,41.2,0.25,40.0,"true"
16.0,1,8,8.6,11.7,5.0,40.0,"true"
16.0,2,6,8.6,38.2,5.0,40.0,"true"
16.0,15,18,35.6,22.55,6.029920283485074,40.0,"true"
16.0,11,22,32.6,35.400000000000006,5.1212160273672085,40.0,"true"
16.0,0,0,2.2,19.2,0.25,60.0,"true"
16.0,1,1,2.2,13.2,0.25,40.0,"true"
